CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Time taken,Uptime,Used memory
74.0,2024.0,instances/bms/300/paper1,300-12-MaxSAT-PySAT-g42/bms/300/paper1.gz.log.gz,1,193,74.4,opt,0.3,73.9927,4.0,NaN
112.6,2024.0,instances/bms/300/paper3,300-12-MaxSAT-PySAT-g42/bms/300/paper3.gz.log.gz,1,195,113.2,opt,0.3,112.8468,6.0,NaN
3591.8,2024.0,instances/bms/300/E.coli,300-12-MaxSAT-PySAT-g42/bms/300/E.coli.gz.log.gz,0,0,3600.1,unknown,5.1,,5.0,NaN
1339.9,2024.0,instances/bms/300/book2,300-12-MaxSAT-PySAT-g42/bms/300/book2.gz.log.gz,1,190,1344.5,opt,1.0,1344.0408,4.0,NaN
3591.6,2024.0,instances/bms/300/paper-folding.10,300-12-MaxSAT-PySAT-g42/bms/300/paper-folding.10.gz.log.gz,0,0,3600.4,unknown,14.7,,5.0,NaN
329.2,2024.0,instances/bms/300/paper5,300-12-MaxSAT-PySAT-g42/bms/300/paper5.gz.log.gz,1,121,330.3,opt,0.4,330.0081,7.0,NaN
3590.4,2024.0,instances/bms/300/thue-morse.11,300-12-MaxSAT-PySAT-g42/bms/300/thue-morse.11.gz.log.gz,0,0,3600.6,unknown,14.5,,6.0,NaN
3591.8,2024.0,instances/bms/300/kennedy.xls,300-12-MaxSAT-PySAT-g42/bms/300/kennedy.xls.gz.log.gz,0,0,3600.1,unknown,2.5,,6.0,NaN
3586.7,2024.0,instances/bms/300/progp,300-12-MaxSAT-PySAT-g42/bms/300/progp.gz.log.gz,0,0,3600.0,unknown,1.7,,6.0,NaN
3590.7,2024.0,instances/bms/300/tribonacci.13,300-12-MaxSAT-PySAT-g42/bms/300/tribonacci.13.gz.log.gz,0,0,3600.4,unknown,14.0,,6.0,NaN
1734.6,2024.0,instances/bms/300/plrabn12.txt,300-12-MaxSAT-PySAT-g42/bms/300/plrabn12.txt.gz.log.gz,1,165,1740.8,opt,1.1,1740.2936,4.0,NaN
3591.0,2024.0,instances/bms/300/kolakoski.17,300-12-MaxSAT-PySAT-g42/bms/300/kolakoski.17.gz.log.gz,0,0,3600.3,unknown,14.3,,8.0,NaN
1.2,2024.0,instances/bms/300/alphabet.txt,300-12-MaxSAT-PySAT-g42/bms/300/alphabet.txt.gz.log.gz,1,27,1.4,opt,0.1,0.9693,4.0,NaN
3589.5,2024.0,instances/bms/300/quaternary-paper-folding.11,300-12-MaxSAT-PySAT-g42/bms/300/quaternary-paper-folding.11.gz.log.gz,0,0,3600.0,unknown,4.8,,8.0,NaN
190.4,2024.0,instances/bms/300/pi.txt,300-12-MaxSAT-PySAT-g42/bms/300/pi.txt.gz.log.gz,1,137,191.3,opt,0.7,190.6817,4.0,NaN
3589.9,2024.0,instances/bms/300/geo,300-12-MaxSAT-PySAT-g42/bms/300/geo.gz.log.gz,0,0,3600.2,unknown,11.4,,7.0,NaN
3586.8,2024.0,instances/bms/300/cp.html,300-12-MaxSAT-PySAT-g42/bms/300/cp.html.gz.log.gz,0,0,3600.0,unknown,1.2,,8.0,NaN
0.7,2024.0,instances/bms/300/random.txt,300-12-MaxSAT-PySAT-g42/bms/300/random.txt.gz.log.gz,1,290,0.9,opt,0.1,0.5227,6.0,NaN
89.4,2024.0,instances/bms/300/world192.txt,300-12-MaxSAT-PySAT-g42/bms/300/world192.txt.gz.log.gz,1,169,89.9,opt,0.3,89.5651,7.0,NaN
3590.5,2024.0,instances/bms/300/binary-de-brujin.11,300-12-MaxSAT-PySAT-g42/bms/300/binary-de-brujin.11.gz.log.gz,0,0,3600.5,unknown,21.5,,4.0,NaN
127.3,2024.0,instances/bms/300/paper2,300-12-MaxSAT-PySAT-g42/bms/300/paper2.gz.log.gz,1,193,127.9,opt,0.3,127.4391,5.0,NaN
521.7,2024.0,instances/bms/300/xargs.1,300-12-MaxSAT-PySAT-g42/bms/300/xargs.1.gz.log.gz,1,156,523.6,opt,0.5,523.1971,5.0,NaN
3590.3,2024.0,instances/bms/300/period-doubling.11,300-12-MaxSAT-PySAT-g42/bms/300/period-doubling.11.gz.log.gz,0,0,3600.6,unknown,23.6,,6.0,NaN
214.3,2024.0,instances/bms/300/trans,300-12-MaxSAT-PySAT-g42/bms/300/trans.gz.log.gz,1,175,215.2,opt,0.5,214.7413,6.0,NaN
3590.5,2024.0,instances/bms/300/sum,300-12-MaxSAT-PySAT-g42/bms/300/sum.gz.log.gz,0,0,3600.4,unknown,19.9,,5.0,NaN
256.8,2024.0,instances/bms/300/bib,300-12-MaxSAT-PySAT-g42/bms/300/bib.gz.log.gz,1,193,257.9,opt,0.5,257.4299,6.0,NaN
79.4,2024.0,instances/bms/300/news,300-12-MaxSAT-PySAT-g42/bms/300/news.gz.log.gz,1,207,79.9,opt,0.2,79.5313,6.0,NaN
3591.1,2024.0,instances/bms/300/power2.11,300-12-MaxSAT-PySAT-g42/bms/300/power2.11.gz.log.gz,0,0,3601.5,unknown,54.3,,7.0,NaN
3589.0,2024.0,instances/bms/300/bible.txt,300-12-MaxSAT-PySAT-g42/bms/300/bible.txt.gz.log.gz,0,0,3600.0,unknown,2.1,,8.0,NaN
383.6,2024.0,instances/bms/300/fibonacci.16,300-12-MaxSAT-PySAT-g42/bms/300/fibonacci.16.gz.log.gz,1,4,384.6,opt,9.6,379.0269,4.0,NaN
651.4,2024.0,instances/bms/300/progc,300-12-MaxSAT-PySAT-g42/bms/300/progc.gz.log.gz,1,184,653.9,opt,0.8,653.4378,4.0,NaN
3586.9,2024.0,instances/bms/300/lcet10.txt,300-12-MaxSAT-PySAT-g42/bms/300/lcet10.txt.gz.log.gz,0,0,3600.1,unknown,5.7,,5.0,NaN
3590.4,2024.0,instances/bms/300/alice29.txt,300-12-MaxSAT-PySAT-g42/bms/300/alice29.txt.gz.log.gz,0,0,3600.0,unknown,4.4,,7.0,NaN
791.2,2024.0,instances/bms/300/progl,300-12-MaxSAT-PySAT-g42/bms/300/progl.gz.log.gz,1,98,793.8,opt,5.1,791.5125,7.0,NaN
2629.5,2024.0,instances/bms/300/obj2,300-12-MaxSAT-PySAT-g42/bms/300/obj2.gz.log.gz,1,119,2636.8,opt,2.1,2635.4747,4.0,NaN
9.2,2024.0,instances/bms/300/asyoulik.txt,300-12-MaxSAT-PySAT-g42/bms/300/asyoulik.txt.gz.log.gz,1,187,9.4,opt,0.2,9.0116,4.0,NaN
285.0,2024.0,instances/bms/300/paper4,300-12-MaxSAT-PySAT-g42/bms/300/paper4.gz.log.gz,1,211,286.2,opt,0.4,285.8345,7.0,NaN
192.5,2024.0,instances/bms/300/paper6,300-12-MaxSAT-PySAT-g42/bms/300/paper6.gz.log.gz,1,148,193.5,opt,0.4,192.9293,6.0,NaN
3590.0,2024.0,instances/bms/300/vtm.11,300-12-MaxSAT-PySAT-g42/bms/300/vtm.11.gz.log.gz,0,0,3600.1,unknown,6.4,,7.0,NaN
138.1,2024.0,instances/bms/300/fields.c,300-12-MaxSAT-PySAT-g42/bms/300/fields.c.gz.log.gz,1,185,138.8,opt,0.5,138.3174,7.0,NaN
374.3,2024.0,instances/bms/300/book1,300-12-MaxSAT-PySAT-g42/bms/300/book1.gz.log.gz,1,201,375.8,opt,0.5,375.3908,7.0,NaN
3586.7,2024.0,instances/bms/300/grammar.lsp,300-12-MaxSAT-PySAT-g42/bms/300/grammar.lsp.gz.log.gz,0,0,3600.0,unknown,1.9,,5.0,NaN
