CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Time taken,Uptime,Used memory
0.3,2024.0,instances/bms/100/paper1,100-13-MaxSAT-PySAT-mgh/bms/100/paper1.gz.log.gz,1,79,0.4,opt,0.1,0.1784,1.0,NaN
0.4,2024.0,instances/bms/100/paper3,100-13-MaxSAT-PySAT-mgh/bms/100/paper3.gz.log.gz,1,76,0.7,opt,0.1,0.3263,1.0,NaN
10.0,2024.0,instances/bms/100/E.coli,100-13-MaxSAT-PySAT-mgh/bms/100/E.coli.gz.log.gz,1,33,10.2,opt,0.2,9.8422,1.0,NaN
0.3,2024.0,instances/bms/100/book2,100-13-MaxSAT-PySAT-mgh/bms/100/book2.gz.log.gz,1,83,0.6,opt,0.1,0.247,1.0,NaN
25.8,2024.0,instances/bms/100/pic,100-13-MaxSAT-PySAT-mgh/bms/100/pic.gz.log.gz,1,2,25.9,opt,1.0,25.1189,1.0,NaN
25.4,2024.0,instances/bms/100/ptt5,100-13-MaxSAT-PySAT-mgh/bms/100/ptt5.gz.log.gz,1,2,25.6,opt,1.0,24.7988,1.0,NaN
113.3,2024.0,instances/bms/100/paper-folding.10,100-13-MaxSAT-PySAT-mgh/bms/100/paper-folding.10.gz.log.gz,1,11,113.8,opt,0.4,113.4399,1.0,NaN
0.6,2024.0,instances/bms/100/paper5,100-13-MaxSAT-PySAT-mgh/bms/100/paper5.gz.log.gz,1,54,0.7,opt,0.1,0.4831,1.0,NaN
79.8,2024.0,instances/bms/100/thue-morse.11,100-13-MaxSAT-PySAT-mgh/bms/100/thue-morse.11.gz.log.gz,1,8,80.2,opt,0.4,79.8,1.0,NaN
1.6,2024.0,instances/bms/100/kennedy.xls,100-13-MaxSAT-PySAT-mgh/bms/100/kennedy.xls.gz.log.gz,1,58,1.8,opt,0.1,1.3799,1.0,NaN
0.3,2024.0,instances/bms/100/progp,100-13-MaxSAT-PySAT-mgh/bms/100/progp.gz.log.gz,1,82,0.3,opt,0.1,0.1565,1.0,NaN
24.6,2024.0,instances/bms/100/tribonacci.13,100-13-MaxSAT-PySAT-mgh/bms/100/tribonacci.13.gz.log.gz,1,8,24.7,opt,0.3,24.4055,1.0,NaN
0.4,2024.0,instances/bms/100/plrabn12.txt,100-13-MaxSAT-PySAT-mgh/bms/100/plrabn12.txt.gz.log.gz,1,79,0.5,opt,0.1,0.2612,1.0,NaN
17.8,2024.0,instances/bms/100/kolakoski.17,100-13-MaxSAT-PySAT-mgh/bms/100/kolakoski.17.gz.log.gz,1,10,17.9,opt,0.3,17.5748,1.0,NaN
0.2,2024.0,instances/bms/100/alphabet.txt,100-13-MaxSAT-PySAT-mgh/bms/100/alphabet.txt.gz.log.gz,1,27,0.2,opt,0.1,0.0437,1.0,NaN
2792.4,2024.0,instances/bms/100/quaternary-paper-folding.11,100-13-MaxSAT-PySAT-mgh/bms/100/quaternary-paper-folding.11.gz.log.gz,1,14,2802.4,opt,0.7,2802.0459,1.0,NaN
0.5,2024.0,instances/bms/100/pi.txt,100-13-MaxSAT-PySAT-mgh/bms/100/pi.txt.gz.log.gz,1,71,0.6,opt,0.1,0.4116,1.0,NaN
17.7,2024.0,instances/bms/100/geo,100-13-MaxSAT-PySAT-mgh/bms/100/geo.gz.log.gz,1,41,17.8,opt,0.3,17.5155,1.0,NaN
0.2,2024.0,instances/bms/100/cp.html,100-13-MaxSAT-PySAT-mgh/bms/100/cp.html.gz.log.gz,1,76,0.3,opt,0.1,0.0903,1.0,NaN
0.2,2024.0,instances/bms/100/random.txt,100-13-MaxSAT-PySAT-mgh/bms/100/random.txt.gz.log.gz,1,99,0.2,opt,0.0,0.0328,1.0,NaN
0.4,2024.0,instances/bms/100/world192.txt,100-13-MaxSAT-PySAT-mgh/bms/100/world192.txt.gz.log.gz,1,84,0.4,opt,0.1,0.223,1.0,NaN
30.2,2024.0,instances/bms/100/binary-de-brujin.11,100-13-MaxSAT-PySAT-mgh/bms/100/binary-de-brujin.11.gz.log.gz,1,14,30.4,opt,0.6,29.908,1.0,NaN
0.5,2024.0,instances/bms/100/paper2,100-13-MaxSAT-PySAT-mgh/bms/100/paper2.gz.log.gz,1,77,0.6,opt,0.1,0.3764,1.0,NaN
0.4,2024.0,instances/bms/100/xargs.1,100-13-MaxSAT-PySAT-mgh/bms/100/xargs.1.gz.log.gz,1,81,0.4,opt,0.1,0.2232,1.0,NaN
460.1,2024.0,instances/bms/100/period-doubling.11,100-13-MaxSAT-PySAT-mgh/bms/100/period-doubling.11.gz.log.gz,1,7,461.7,opt,0.9,461.1547,1.0,NaN
0.4,2024.0,instances/bms/100/trans,100-13-MaxSAT-PySAT-mgh/bms/100/trans.gz.log.gz,1,70,0.4,opt,0.1,0.2162,1.0,NaN
27.2,2024.0,instances/bms/100/sum,100-13-MaxSAT-PySAT-mgh/bms/100/sum.gz.log.gz,1,42,27.4,opt,0.4,27.0092,1.0,NaN
0.4,2024.0,instances/bms/100/bib,100-13-MaxSAT-PySAT-mgh/bms/100/bib.gz.log.gz,1,88,0.6,opt,0.1,0.3094,1.0,NaN
0.3,2024.0,instances/bms/100/news,100-13-MaxSAT-PySAT-mgh/bms/100/news.gz.log.gz,1,80,0.4,opt,0.1,0.1025,1.0,NaN
45.8,2024.0,instances/bms/100/power2.11,100-13-MaxSAT-PySAT-mgh/bms/100/power2.11.gz.log.gz,1,9,46.0,opt,0.9,45.3071,1.0,NaN
0.8,2024.0,instances/bms/100/bible.txt,100-13-MaxSAT-PySAT-mgh/bms/100/bible.txt.gz.log.gz,1,64,0.8,opt,0.1,0.6295,1.0,NaN
8.6,2024.0,instances/bms/100/fibonacci.16,100-13-MaxSAT-PySAT-mgh/bms/100/fibonacci.16.gz.log.gz,1,4,8.7,opt,0.4,8.2885,1.0,NaN
0.4,2024.0,instances/bms/100/progc,100-13-MaxSAT-PySAT-mgh/bms/100/progc.gz.log.gz,1,80,0.5,opt,0.1,0.2792,1.0,NaN
1.1,2024.0,instances/bms/100/lcet10.txt,100-13-MaxSAT-PySAT-mgh/bms/100/lcet10.txt.gz.log.gz,1,64,1.4,opt,0.1,1.0259,1.0,NaN
