Acyc-Edges,Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Acyc,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
80164.0,,222185.0,14845901.0,258478.0,234,*,3584.317,3584.5,1.0,22718679.0,14846077.0,146555.0,2025.0,203383.0,instances/bms/1000/bible.txt,15553389.0,1000-03-ASP-acyclicity/bms3000/bible.txt.lp.log.gz,,0.0,0,0,,177.0,3600.3,9192.0,unknown,478776.0,0.4,1.0,3600.113,15.0,NaN,96955.0,80164.0,156.0,84.0,41082.0,14845901.0,868.0,14845817.0,707488.0,1.0,0.0,9722.0
50514.0,,147768.0,18165903.0,169597.0,386,*,3582.96,3583.0,1.0,32779656.0,18166100.0,98563.0,2025.0,129187.0,instances/bms/1000/fields.c,18492374.0,1000-03-ASP-acyclicity/bms3000/fields.c.lp.log.gz,,0.0,0,0,,198.0,3600.1,22058.0,unknown,315578.0,0.2,1.0,3600.024,16.0,NaN,67055.0,50514.0,146.0,53.0,26257.0,18165903.0,749.0,18165850.0,326471.0,1.0,0.0,7825.0
71842.0,,201417.0,13863323.0,233655.0,208,*,3586.869,3586.9,1.0,24329586.0,13863471.0,134745.0,2025.0,182547.0,instances/bms/1000/grammar.lsp,14774970.0,1000-03-ASP-acyclicity/bms3000/grammar.lsp.lp.log.gz,,0.0,0,0,,149.0,3600.1,11640.0,unknown,433212.0,0.2,1.0,3600.005,16.0,NaN,88684.0,71842.0,179.0,57.0,36921.0,13863323.0,822.0,13863266.0,911647.0,1.0,0.0,18540.0
37468.0,,115427.0,6625677.0,130162.0,3,*,3581.898,3582.0,1.0,81518513.0,6625679.0,84536.0,2025.0,96669.0,instances/bms/1000/alphabet.txt,23420402.0,1000-03-ASP-acyclicity/bms3000/alphabet.txt.lp.log.gz,,0.0,0,0,,3.0,3600.1,21466.0,unknown,243800.0,0.3,1.0,3600.009,17.0,NaN,54225.0,37468.0,4.0,0.0,19734.0,6625677.0,789.0,6625677.0,16794725.0,1.0,0.0,419374.0
55638.0,1.0,160749.0,76684.0,184808.0,,,4.538,0.0,1.0,527507.0,76958.0,107465.0,2025.0,141979.0,instances/bms/1000/paper4,209136.0,1000-03-ASP-acyclicity/bms3000/paper4.lp.log.gz,3698.0,1.0,1,436,436.0,274.0,4.7,124.0,opt,343791.0,0.0,,4.569,15.0,NaN,72358.0,55638.0,168.0,75.0,28819.0,76684.0,779.0,76609.0,132452.0,1.0,0.0,6132.0
677350.0,1.0,1714914.0,313126.0,2049843.0,,,538.597,539.0,1.0,15433355.0,313207.0,998322.0,2025.0,1696054.0,instances/bms/1000/sum,9218983.0,1000-03-ASP-acyclicity/bms3000/sum.lp.log.gz,84524.0,1.0,1,225,225.0,81.0,541.8,1066.0,opt,3763012.0,0.3,,541.366,16.0,NaN,694077.0,677350.0,14.0,29.0,339675.0,313126.0,848.0,313097.0,8905857.0,1.0,0.0,27156.0
35052.0,,109318.0,21540026.0,123270.0,379,*,3586.883,3586.9,1.0,28297996.0,21540215.0,76703.0,2025.0,90517.0,instances/bms/1000/cp.html,21682064.0,1000-03-ASP-acyclicity/bms3000/cp.html.lp.log.gz,,0.0,0,0,,190.0,3600.1,12464.0,unknown,230864.0,0.2,1.0,3600.003,15.0,NaN,51804.0,35052.0,210.0,45.0,18526.0,21540026.0,690.0,21539981.0,142038.0,1.0,0.0,5602.0
52378.0,,152602.0,82189559.0,175172.0,401,*,3583.403,3583.5,1.0,157746572.0,82189792.0,102475.0,2025.0,133841.0,instances/bms/1000/world192.txt,180694472.0,1000-03-ASP-acyclicity/bms3000/world192.txt.lp.log.gz,,0.0,0,0,,234.0,3600.1,50106.0,unknown,325989.0,0.1,1.0,3600.008,16.0,NaN,69093.0,52378.0,109.0,103.0,27189.0,82189559.0,766.0,82189456.0,98504913.0,1.0,0.0,6814.0
526848.0,,1338550.0,2150667.0,1598391.0,4,*,3586.931,3587.0,1.0,21059833.0,2150671.0,818124.0,2025.0,1320119.0,instances/bms/1000/fibonacci.16,4579665.0,1000-03-ASP-acyclicity/bms3000/fibonacci.16.lp.log.gz,,0.0,0,0,,4.0,3600.1,5652.0,unknown,2934955.0,0.3,1.0,3600.004,17.0,NaN,543694.0,526848.0,95.0,30.0,264424.0,2150667.0,986.0,2150637.0,2428998.0,1.0,0.0,86270.0
500058.0,,1271599.0,1829820.0,1517629.0,104,*,3581.959,3582.0,1.0,23193359.0,1829923.0,777335.0,2025.0,1253144.0,instances/bms/1000/binary-de-brujin.11,92340953.0,1000-03-ASP-acyclicity/bms3000/binary-de-brujin.11.lp.log.gz,,0.0,0,0,,104.0,3600.1,4403.0,unknown,2787242.0,0.3,1.0,3600.002,15.0,NaN,516512.0,500058.0,546.0,567.0,251029.0,1829820.0,986.0,1829253.0,90511133.0,1.0,0.0,133183.0
57396.0,1.0,165239.0,58156.0,190289.0,,,3.274,3.4,1.0,468681.0,58420.0,108739.0,2025.0,146402.0,instances/bms/1000/book1,158859.0,1000-03-ASP-acyclicity/bms3000/book1.lp.log.gz,3081.0,1.0,1,471,471.0,264.0,3.9,30.0,opt,353701.0,0.1,,3.307,14.0,NaN,74195.0,57396.0,99.0,59.0,29698.0,58156.0,787.0,58097.0,100703.0,1.0,0.0,4627.0
36932.0,1.0,114093.0,1858279.0,129077.0,,,144.321,144.4,1.0,4312323.0,1858535.0,80071.0,2025.0,95298.0,instances/bms/1000/asyoulik.txt,2943418.0,1000-03-ASP-acyclicity/bms3000/asyoulik.txt.lp.log.gz,4925.0,1.0,1,414,414.0,256.0,145.1,1721.0,opt,241389.0,0.1,,144.977,14.0,NaN,53713.0,36932.0,319.0,115.0,19466.0,1858279.0,715.0,1858164.0,1085139.0,1.0,0.0,13500.0
999000.0,1.0,2518451.0,895.0,3013952.0,,,84.73,85.3,1.0,108741.0,897.0,1524362.0,2025.0,2500499.0,instances/bms/1000/pic,3917.0,1000-03-ASP-acyclicity/bms3000/pic.lp.log.gz,91095.0,1.0,1,2,2.0,2.0,85.6,0.0,opt,5530410.0,0.5,,85.047,16.0,NaN,1014951.0,999000.0,0.0,0.0,500500.0,895.0,993.0,895.0,3022.0,1.0,0.0,9.0
49612.0,1.0,145572.0,1169222.0,166909.0,,,41.382,41.5,1.0,2042606.0,1169488.0,98412.0,2025.0,126924.0,instances/bms/1000/paper3,2579226.0,1000-03-ASP-acyclicity/bms3000/paper3.lp.log.gz,6394.0,1.0,1,431,431.0,266.0,41.7,549.0,opt,310703.0,0.1,,41.557,15.0,NaN,66212.0,49612.0,153.0,107.0,25806.0,1169222.0,742.0,1169115.0,1410004.0,1.0,0.0,4423.0
47706.0,,140963.0,42369514.0,161290.0,466,*,3583.101,3583.2,1.0,75732030.0,42369769.0,94521.0,2025.0,122163.0,instances/bms/1000/news,98755368.0,1000-03-ASP-acyclicity/bms3000/news.lp.log.gz,,0.0,0,0,,256.0,3600.1,47770.0,unknown,300495.0,0.1,1.0,3600.004,17.0,NaN,64462.0,47706.0,236.0,111.0,24853.0,42369514.0,711.0,42369403.0,56385854.0,1.0,0.0,10222.0
249314.0,,645025.0,9053702.0,765683.0,203,*,3582.089,3582.2,1.0,38047256.0,9053904.0,402021.0,2025.0,626284.0,instances/bms/1000/E.coli,198252419.0,1000-03-ASP-acyclicity/bms3000/E.coli.lp.log.gz,,0.0,0,0,,203.0,3600.2,5918.0,unknown,1408738.0,0.7,1.0,3600.026,17.0,NaN,266054.0,249314.0,601.0,589.0,125657.0,9053702.0,970.0,9053113.0,189198717.0,1.0,0.0,109987.0
999000.0,1.0,2518451.0,895.0,3013952.0,,,85.519,86.0,1.0,108741.0,897.0,1524362.0,2025.0,2500499.0,instances/bms/1000/ptt5,3917.0,1000-03-ASP-acyclicity/bms3000/ptt5.lp.log.gz,91095.0,1.0,1,2,2.0,2.0,86.4,0.0,opt,5530410.0,0.4,,85.807,15.0,NaN,1014951.0,999000.0,0.0,0.0,500500.0,895.0,993.0,895.0,3022.0,1.0,0.0,9.0
42240.0,,127301.0,63189697.0,145095.0,440,*,3585.289,3585.4,1.0,131900273.0,63189937.0,86910.0,2025.0,108479.0,instances/bms/1000/paper1,152623769.0,1000-03-ASP-acyclicity/bms3000/paper1.lp.log.gz,,0.0,0,0,,241.0,3600.1,81691.0,unknown,270641.0,0.2,1.0,3600.002,15.0,NaN,59005.0,42240.0,330.0,100.0,22120.0,63189697.0,709.0,63189597.0,89434072.0,1.0,0.0,15082.0
999000.0,1.0,2518451.0,895.0,3013952.0,,,84.87,85.4,1.0,108741.0,897.0,1524362.0,2025.0,2500499.0,instances/bms/1000/aaa.txt,3917.0,1000-03-ASP-acyclicity/bms3000/aaa.txt.lp.log.gz,91095.0,1.0,1,2,2.0,2.0,85.8,0.0,opt,5530410.0,0.4,,85.178,14.0,NaN,1014951.0,999000.0,0.0,0.0,500500.0,895.0,993.0,895.0,3022.0,1.0,0.0,9.0
41852.0,,126246.0,17639330.0,143415.0,382,*,3568.203,3568.3,1.0,28110816.0,17639531.0,85980.0,2025.0,107516.0,instances/bms/1000/xargs.1,22973727.0,1000-03-ASP-acyclicity/bms3000/xargs.1.lp.log.gz,,0.0,0,0,,202.0,3600.1,12276.0,unknown,267907.0,2.3,1.0,3600.013,17.0,NaN,58530.0,41852.0,400.0,111.0,21926.0,17639330.0,744.0,17639219.0,5334397.0,1.0,0.0,21889.0
43068.0,,129413.0,55045421.0,147644.0,362,*,3584.78,3584.8,1.0,107378360.0,55045589.0,89000.0,2025.0,110594.0,instances/bms/1000/paper6,169773830.0,1000-03-ASP-acyclicity/bms3000/paper6.lp.log.gz,,0.0,0,0,,168.0,3600.1,28596.0,unknown,275278.0,0.3,1.0,3600.004,15.0,NaN,59853.0,43068.0,27.0,48.0,22534.0,55045421.0,701.0,55045373.0,114728409.0,1.0,0.0,12325.0
140536.0,,372829.0,28250178.0,439759.0,342,*,3585.786,3585.8,1.0,64132371.0,28250359.0,233966.0,2025.0,354240.0,instances/bms/1000/lcet10.txt,140528599.0,1000-03-ASP-acyclicity/bms3000/lcet10.txt.lp.log.gz,,0.0,0,0,,182.0,3600.1,15410.0,unknown,810721.0,0.1,1.0,3600.004,16.0,NaN,157079.0,140536.0,144.0,201.0,71268.0,28250177.0,805.0,28249977.0,112278422.0,1.0,0.0,11897.0
554112.0,,1405897.0,3724342.0,1679906.0,5,*,3585.401,3585.5,1.0,33704777.0,3724346.0,858468.0,2025.0,1388279.0,instances/bms/1000/period-doubling.11,5109235.0,1000-03-ASP-acyclicity/bms3000/period-doubling.11.lp.log.gz,,0.0,0,0,,5.0,3600.1,10347.0,unknown,3083816.0,0.3,1.0,3600.004,16.0,NaN,570681.0,554112.0,10.0,0.0,278056.0,3724341.0,987.0,3724342.0,1384894.0,1.0,0.0,61413.0
68318.0,,192530.0,76950774.0,222933.0,403,*,3586.096,3586.2,1.0,167133612.0,76951056.0,126503.0,2025.0,173691.0,instances/bms/1000/plrabn12.txt,221580738.0,1000-03-ASP-acyclicity/bms3000/plrabn12.txt.lp.log.gz,,0.0,0,0,,283.0,3600.1,49759.0,unknown,413640.0,0.1,1.0,3600.005,17.0,NaN,85111.0,68318.0,170.0,122.0,35159.0,76950774.0,808.0,76950652.0,144629964.0,1.0,0.0,7955.0
987042.0,,2488454.0,24042.0,2977976.0,11,*,3588.075,3588.1,1.0,36318592.0,24043.0,1503310.0,2025.0,2470586.0,instances/bms/1000/obj1,26009.0,1000-03-ASP-acyclicity/bms3000/obj1.lp.log.gz,,0.0,0,0,,2.0,3600.1,1.0,unknown,5464455.0,0.4,1.0,3600.003,17.0,NaN,1002903.0,987042.0,0.0,0.0,494521.0,24042.0,987.0,24042.0,1967.0,1.0,0.0,623.0
53138.0,,154574.0,92200728.0,177737.0,468,*,3586.081,3586.1,1.0,211273411.0,92200977.0,102332.0,2025.0,135757.0,instances/bms/1000/trans,299094216.0,1000-03-ASP-acyclicity/bms3000/trans.lp.log.gz,,0.0,0,0,,250.0,3600.1,51815.0,unknown,330512.0,0.1,1.0,3600.002,16.0,NaN,69917.0,53138.0,104.0,60.0,27569.0,92200728.0,740.0,92200668.0,206893488.0,1.0,0.0,4892.0
43140.0,,129592.0,33918150.0,147456.0,415,*,3583.475,3583.5,1.0,55073044.0,33918380.0,88110.0,2025.0,110784.0,instances/bms/1000/progp,68032653.0,1000-03-ASP-acyclicity/bms3000/progp.lp.log.gz,,0.0,0,0,,231.0,3600.1,23675.0,unknown,275272.0,0.3,1.0,3600.013,16.0,NaN,59920.0,43140.0,240.0,145.0,22570.0,33918150.0,763.0,33918005.0,34114503.0,1.0,0.0,15858.0
35918.0,,111419.0,46066857.0,125937.0,406,*,3584.29,3584.4,1.0,73335221.0,46067054.0,77809.0,2025.0,92701.0,instances/bms/1000/paper5,93445092.0,1000-03-ASP-acyclicity/bms3000/paper5.lp.log.gz,,0.0,0,0,,198.0,3600.1,22251.0,unknown,235642.0,0.1,1.0,3600.001,16.0,NaN,52596.0,35918.0,145.0,155.0,18959.0,46066857.0,675.0,46066702.0,47378235.0,1.0,0.0,7621.0
87062.0,,239278.0,59827944.0,279274.0,391,*,3578.718,3578.8,1.0,126757888.0,59828184.0,155126.0,2025.0,220595.0,instances/bms/1000/alice29.txt,178779055.0,1000-03-ASP-acyclicity/bms3000/alice29.txt.lp.log.gz,,0.0,0,0,,241.0,3600.1,39474.0,unknown,516641.0,0.1,1.0,3600.004,17.0,NaN,103719.0,87062.0,225.0,87.0,44531.0,59827944.0,861.0,59827857.0,118951111.0,1.0,0.0,11891.0
116108.0,,311956.0,30126307.0,366094.0,261,*,3582.544,3582.6,1.0,112404081.0,30126457.0,199252.0,2025.0,293220.0,instances/bms/1000/progl,48605942.0,1000-03-ASP-acyclicity/bms3000/progl.lp.log.gz,,0.0,0,0,,151.0,3600.1,19032.0,unknown,676104.0,0.4,1.0,3599.997,15.0,NaN,132820.0,116108.0,594.0,106.0,59054.0,30126307.0,940.0,30126201.0,18479635.0,1.0,0.0,59548.0
