CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Uptime,Used memory,c 2775 Answer,c 2775 Optimization,c 2776   Acyc,c 2776   Binary,c 2776   Bounded,c 2776   Choice,c 2776   Conflict,c 2776   Count,c 2776   Executed,c 2776   Loop,c 2776   Minimize,c 2776   Other,c 2776   Ternary,c 2776 Acyc-Edges,c 2776 Atoms,c 2776 Backjumps,c 2776 Bodies,c 2776 CPU Time,c 2776 Calls,c 2776 Choices,c 2776 Conflicts,c 2776 Constraints,c 2776 Equivalences,c 2776 Lemmas,c 2776 Model-Level,c 2776 Models,c 2776 Optimization,c 2776 Problems,c 2776 Restarts,c 2776 Rules,c 2776 Time,c 2776 Variables,c 2828 Answer,c 2828 Optimization,c 2829   Acyc,c 2829   Binary,c 2829   Bounded,c 2829   Choice,c 2829   Conflict,c 2829   Count,c 2829   Executed,c 2829   Loop,c 2829   Minimize,c 2829   Other,c 2829   Ternary,c 2829 Acyc-Edges,c 2829 Atoms,c 2829 Backjumps,c 2829 Bodies,c 2829 CPU Time,c 2829 Calls,c 2829 Choices,c 2829 Conflicts,c 2829 Constraints,c 2829 Equivalences,c 2829 Lemmas,c 2829 Model-Level,c 2829 Models,c 2829 Optimization,c 2829 Problems,c 2829 Restarts,c 2829 Rules,c 2829 Time,c 2829 Variables,c 3531 Answer,c 3531 Optimization,c 3532   Acyc,c 3532   Binary,c 3532   Bounded,c 3532   Choice,c 3532   Conflict,c 3532   Count,c 3532   Executed,c 3532   Loop,c 3532   Minimize,c 3532   Other,c 3532   Ternary,c 3532 Acyc-Edges,c 3532 Atoms,c 3532 Backjumps,c 3532 Bodies,c 3532 CPU Time,c 3532 Calls,c 3532 Choices,c 3532 Conflicts,c 3532 Constraints,c 3532 Equivalences,c 3532 Lemmas,c 3532 Model-Level,c 3532 Models,c 3532 Optimization,c 3532 Problems,c 3532 Restarts,c 3532 Rules,c 3532 Time,c 3532 Variables,c 3600   Acyc,c 3600   Binary,c 3600   Bounded,c 3600   Choice,c 3600   Conflict,c 3600   Count,c 3600   Executed,c 3600   Loop,c 3600   Minimize,c 3600   Other,c 3600   Ternary,c 3600 Acyc-Edges,c 3600 Atoms,c 3600 Backjumps,c 3600 Bodies,c 3600 CPU Time,c 3600 Calls,c 3600 Choices,c 3600 Conflicts,c 3600 Constraints,c 3600 Equivalences,c 3600 Lemmas,c 3600 Models,c 3600 Problems,c 3600 Restarts,c 3600 Rules,c 3600 TIME LIMIT,c 3600 Time,c 3600 Variables
3582.8,2026.0,instances/bms10000/paper4.lp,11-ASP-edge-trendy-usc-7000/bms10000/paper4.lp.log.gz,0,0,3600.2,unknown,1.6,10.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3062760.0,1089.0,1039.0,1538380.0,12791149.0,6879.0,12790110.0,4596302.0,1.0,0.0,21624.0,3062760.0,7709665.0,12791149.0,9224538.0,3582.703,1.0,57262692.0,12792766.0,7722795.0,7677858.0,17387451.0,0.0,1618.0,11169.0,16920270.0,1.0,3600.016,3091551.0
3579.9,2026.0,instances/bms10000/sum.lp,11-ASP-edge-trendy-usc-7000/bms10000/sum.lp.log.gz,0,0,3600.2,unknown,3.5,10.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6904056.0,803.0,788.0,3459028.0,10089278.0,6671.0,10088490.0,419101.0,1.0,0.0,11351.0,6904056.0,17309290.0,10089278.0,20745776.0,3579.627,1.0,74042716.0,10091310.0,17316458.0,17280896.0,10508379.0,0.0,2033.0,6481.0,38041234.0,1.0,3600.008,6929340.0
0.1,2026.0,instances/bms10000/world192.txt.lp,11-ASP-edge-trendy-usc-7000/bms10000/world192.txt.lp.log.gz,0,0,3600.1,unknown,0.0,10.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2407184.0,822.0,668.0,1210592.0,15633164.0,6923.0,15632496.0,886752.0,1.0,0.0,11097.0,2407184.0,6070669.0,15633164.0,7257664.0,3584.7,1.0,31969418.0,15634841.0,6083574.0,6038925.0,16519916.0,0.0,1678.0,14795.0,13314384.0,1.0,3600.001,2435913.0
3576.9,2026.0,instances/bms10000/book1.lp,11-ASP-edge-trendy-usc-7000/bms10000/book1.lp.log.gz,0,0,3600.2,unknown,2.0,10.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3128680.0,1741.0,1705.0,1571340.0,11068372.0,6868.0,11066667.0,15485017.0,1.0,0.0,88607.0,3128680.0,7873028.0,11068372.0,9420998.0,3576.737,1.0,1070451808.0,11070244.0,7883472.0,7842614.0,26553389.0,0.0,1873.0,6699.0,17280100.0,1.0,3600.008,3156054.0
3583.1,2026.0,instances/bms10000/asyoulik.txt.lp,11-ASP-edge-trendy-usc-7000/bms10000/asyoulik.txt.lp.log.gz,0,0,3600.2,unknown,1.4,10.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2593394.0,726.0,917.0,1303697.0,33880802.0,6894.0,33879885.0,65343831.0,1.0,0.0,13627.0,2593394.0,6535923.0,33880802.0,7816136.0,3582.996,1.0,95843171.0,33882497.0,6548366.0,6504478.0,99224633.0,0.0,1696.0,19439.0,14338105.0,1.0,3600.016,2621836.0
2783.4,2026.0,instances/bms10000/pic.lp,11-ASP-edge-trendy-usc-7000/bms10000/pic.lp.log.gz,1,4,2793.4,opt,27.7,9.0,NaN,1.0,4.0,48979002.0,1.0,1.0,24496501.0,1.0,6998.0,0.0,4255.0,1.0,0.0,1.0,48979002.0,122499493.0,1.0,146971995.0,2766.593,1.0,10461.0,5.0,122510476.0,122468501.0,4256.0,8945.0,1.0,4.0,4.0,0.0,269457492.0,2776.47,49006992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3368.8,2026.0,instances/bms10000/paper3.lp,11-ASP-edge-trendy-usc-7000/bms10000/paper3.lp.log.gz,0,0,3600.4,unknown,34.3,10.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633072.0,923.0,1004.0,1323536.0,8805996.0,6897.0,8804992.0,6633518.0,1.0,0.0,18324.0,2633072.0,6635483.0,8805996.0,7935291.0,3368.579,1.0,41611586.0,8807708.0,6648508.0,6603608.0,15439514.0,0.0,1712.0,5067.0,14556851.0,1.0,3600.001,2661913.0
2832.2,2026.0,instances/bms10000/ptt5.lp,11-ASP-edge-trendy-usc-7000/bms10000/ptt5.lp.log.gz,1,4,2844.8,opt,26.0,9.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,48979002.0,1.0,1.0,24496501.0,1.0,6998.0,0.0,4255.0,1.0,0.0,1.0,48979002.0,122499493.0,1.0,146971995.0,2816.682,1.0,10461.0,5.0,122510476.0,122468501.0,4256.0,8945.0,1.0,4.0,4.0,0.0,269457492.0,2829.168,49006992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3528.6,2026.0,instances/bms10000/aaa.txt.lp,11-ASP-edge-trendy-usc-7000/bms10000/aaa.txt.lp.log.gz,1,2,3549.5,opt,29.3,10.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,48993000.0,1.0,0.0,24503500.0,1.0,6999.0,1.0,6998.0,1.0,0.0,1.0,48993000.0,122534493.0,1.0,147013994.0,3511.835,1.0,7000.0,4.0,122545480.0,122503499.0,6999.0,2.0,1.0,2.0,3.0,0.0,269534488.0,3532.466,49020993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3582.2,2026.0,instances/bms10000/random.txt.lp,11-ASP-edge-trendy-usc-7000/bms10000/random.txt.lp.log.gz,0,0,3600.1,unknown,0.4,10.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767220.0,1034.0,378.0,390610.0,5740751.0,6932.0,5740373.0,13832.0,1.0,0.0,7545.0,767220.0,1970858.0,5740751.0,2337469.0,3582.154,1.0,18225384.0,5743417.0,1049952.0,1939049.0,5754583.0,0.0,2667.0,4750.0,4294395.0,1.0,3600.007,796028.0
