Added PB MDD for |99_99| <= 1,Added PB MDD for |99_99| <= 3,Added PB MDD for |99_99| <= 6,Added PB MDD for |99_99| <= 7,CPU time,Date,Instance,Log,Mono,No. effective iterative eliminations,Obj updates,Obj val,Real time,Result,Sys time,UB=1 fails_ cnfls=1_ hcnfls=1_ lacnfls=0_ lascnfls=0_ core 0_ tier2 0_ local 0_ quasiC,UB=2 fails_ cnfls=2_ hcnfls=1_ lacnfls=0_ lascnfls=1_ core 0_ tier2 0_ local 0_ quasiC,UB=4 fails_ cnfls=215_ hcnfls=129_ lacnfls=6_ lascnfls=86_ core 279_ tier2 76_ local 137_ quasiC,Uptime,Used memory,c [SCS] lower bound,fixedCost 1_ satCost 0_ totalFixedVars 1_ objForSearch,initial LB,initial UB,nb soft clauses and lits,nbHardens 290 (fixed 4787)_ shorten,provided UB,prunedLB 0.00_ dev 0.00_ succRate 0.00_ nbSucc 0_ nbHardens 1 (fixed 99)_ lk,prunedLB 2.00_ dev 0.00_ succRate 1.00_ nbSucc 1_ nbHardens 1 (fixed 99)_ lk,prunedLB 2.79_ dev 0.74_ succRate 0.58_ nbSucc 84_ nbHardens 46 (fixed 1224)_ lk,sattime  preproc time,shorten
,,,,0.5,2025.0,instances/bms/100/paper2,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/paper2.gz.log.gz,,,2,77,0.6,opt,0.1,,,,14.0,NaN,68.0,,,,,,,,,,,
,,,,0.6,2025.0,instances/bms/100/xargs.1,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/xargs.1.gz.log.gz,,,2,81,0.6,opt,0.1,,,,14.0,NaN,70.0,,,,,,,,,,,
293.0,669.0,1203.0,1373.0,0.4,2025.0,instances/bms/100/period-doubling.11,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/period-doubling.11.gz.log.gz,0.0,2.0,2,8,3600.0,unknown,0.1,0.0,0.0,0.0,15.0,NaN,,99.0,0.0,101.0,100.0,0.0,100.0,0.0,1.0,146.0,34.52,0.0
,,,,0.5,2025.0,instances/bms/100/trans,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/trans.gz.log.gz,,,2,70,0.6,opt,0.1,,,,14.0,NaN,55.0,,,,,,,,,,,
,,,,79.8,2025.0,instances/bms/100/sum,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/sum.gz.log.gz,,,2,42,80.1,opt,0.3,,,,14.0,NaN,,,,,,,,,,,,
,,,,0.4,2025.0,instances/bms/100/bib,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/bib.gz.log.gz,,,2,88,0.4,opt,0.1,,,,14.0,NaN,78.0,,,,,,,,,,,
,,,,0.2,2025.0,instances/bms/100/news,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/news.gz.log.gz,,,2,80,0.2,opt,0.0,,,,14.0,NaN,68.0,,,,,,,,,,,
,,,,280.4,2025.0,instances/bms/100/power2.11,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/power2.11.gz.log.gz,,,2,9,281.4,opt,0.6,,,,14.0,NaN,,,,,,,,,,,,
,,,,4.6,2025.0,instances/bms/100/bible.txt,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/bible.txt.gz.log.gz,,,2,64,4.6,opt,0.1,,,,14.0,NaN,50.0,,,,,,,,,,,
,,,,5.6,2025.0,instances/bms/100/fibonacci.16,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/fibonacci.16.gz.log.gz,,,2,4,5.7,opt,0.2,,,,14.0,NaN,,,,,,,,,,,,
,,,,0.6,2025.0,instances/bms/100/progc,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/progc.gz.log.gz,,,2,80,0.6,opt,0.1,,,,14.0,NaN,65.0,,,,,,,,,,,
,,,,9.4,2025.0,instances/bms/100/lcet10.txt,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/lcet10.txt.gz.log.gz,,,2,64,9.4,opt,0.1,,,,14.0,NaN,57.0,,,,,,,,,,,
,,,,3.6,2025.0,instances/bms/100/obj1,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/obj1.gz.log.gz,,,2,11,3.7,opt,0.4,,,,14.0,NaN,,,,,,,,,,,,
,,,,174.8,2025.0,instances/bms/100/alice29.txt,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/alice29.txt.gz.log.gz,,,2,50,175.3,opt,0.3,,,,14.0,NaN,43.0,,,,,,,,,,,
,,,,1.9,2025.0,instances/bms/100/progl,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/progl.gz.log.gz,,,2,25,1.9,opt,0.3,,,,14.0,NaN,,,,,,,,,,,,
,,,,4.0,2025.0,instances/bms/100/obj2,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/obj2.gz.log.gz,,,2,58,4.0,opt,0.1,,,,14.0,NaN,45.0,,,,,,,,,,,
,,,,0.2,2025.0,instances/bms/100/asyoulik.txt,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/asyoulik.txt.gz.log.gz,,,2,84,0.2,opt,0.0,,,,14.0,NaN,75.0,,,,,,,,,,,
,,,,0.2,2025.0,instances/bms/100/paper4,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/paper4.gz.log.gz,,,2,86,0.2,opt,0.1,,,,14.0,NaN,80.0,,,,,,,,,,,
,,,,3.6,2025.0,instances/bms/100/aaa.txt,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/aaa.txt.gz.log.gz,,,1,2,3.6,opt,0.5,,,,14.0,NaN,,,,,,,,,,,,
,,,,0.5,2025.0,instances/bms/100/paper6,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/paper6.gz.log.gz,,,2,73,0.5,opt,0.1,,,,14.0,NaN,60.0,,,,,,,,,,,
,,,,59.2,2025.0,instances/bms/100/vtm.11,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/vtm.11.gz.log.gz,,,2,10,59.4,opt,0.3,,,,14.0,NaN,1.0,,,,,,,,,,,
,,,,0.4,2025.0,instances/bms/100/fields.c,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/fields.c.gz.log.gz,,,2,92,0.4,opt,0.1,,,,14.0,NaN,88.0,,,,,,,,,,,
,,,,0.3,2025.0,instances/bms/100/book1,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/book1.gz.log.gz,,,2,87,0.3,opt,0.0,,,,14.0,NaN,81.0,,,,,,,,,,,
,,,,0.4,2025.0,instances/bms/100/grammar.lsp,100-11-MaxSAT-WMaxCDCL-openwbo/bms/100/grammar.lsp.gz.log.gz,,,2,76,0.4,opt,0.1,,,,14.0,NaN,65.0,,,,,,,,,,,
