Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
1.0,29390.0,822160.0,315474.0,,,725.397,725.5,1.0,2187639.0,822228.0,1136288.0,2025.0,18698.0,instances/bms/300/bible.txt,999332.0,300-01-ASP-closure/bms3000/bible.txt.lp.log.gz,1183.0,1.0,1,131,131.0,68.0,728.6,1167.0,opt,340725.0,0.1,,728.462,12.0,NaN,290011.0,899.0,208.0,3862.0,822160.0,237.0,821952.0,177172.0,1.0,0.0,1925.0
1.0,20017.0,13160.0,180994.0,,,12.046,12.1,1.0,178784.0,13235.0,642104.0,2025.0,12012.0,instances/bms/300/fields.c,24416.0,300-01-ASP-closure/bms3000/fields.c.lp.log.gz,1099.0,1.0,1,185,185.0,75.0,12.2,37.0,opt,198240.0,0.1,,12.104,12.0,NaN,164500.0,414.0,25.0,2531.0,13160.0,181.0,13135.0,11256.0,1.0,0.0,508.0
1.0,24057.0,245933.0,254083.0,,,308.26,308.4,1.0,567903.0,246006.0,916810.0,2025.0,14915.0,instances/bms/300/grammar.lsp,328225.0,300-01-ASP-closure/bms3000/grammar.lsp.lp.log.gz,700.0,1.0,1,139,139.0,73.0,309.7,170.0,opt,274771.0,0.1,,309.569,12.0,NaN,233952.0,268.0,38.0,3105.0,245933.0,216.0,245895.0,82292.0,1.0,0.0,806.0
,15588.0,12759673.0,48685.0,4,*,3585.341,3585.4,1.0,30479063.0,12759676.0,137868.0,2025.0,8819.0,instances/bms/300/alphabet.txt,13359305.0,300-01-ASP-closure/bms3000/alphabet.txt.lp.log.gz,,0.0,0,0,,4.0,3600.1,23528.0,unknown,62089.0,0.2,1.0,3600.007,14.0,NaN,37296.0,1.0,0.0,1884.0,12759673.0,300.0,12759673.0,599632.0,1.0,0.0,712.0
1.0,16913.0,68694.0,80610.0,,,15.597,15.7,1.0,153926.0,68752.0,256193.0,2025.0,9811.0,instances/bms/300/paper4,83626.0,300-01-ASP-closure/bms3000/paper4.lp.log.gz,1018.0,1.0,1,211,211.0,58.0,15.8,26.0,opt,95194.0,0.1,,15.671,12.0,NaN,67448.0,223.0,61.0,2089.0,68694.0,208.0,68633.0,14932.0,1.0,0.0,387.0
,160210.0,68308.0,9507975.0,108,*,3584.533,3584.6,1.0,2983066.0,68380.0,37316502.0,2025.0,112147.0,instances/bms/300/sum,832541.0,300-01-ASP-closure/bms3000/sum.lp.log.gz,,0.0,0,0,,73.0,3600.1,129.0,unknown,9645435.0,1.7,1.0,3600.0,14.0,NaN,9351724.0,566.0,644.0,22570.0,68308.0,222.0,67664.0,764233.0,1.0,0.0,1453.0
,16597.0,9921303.0,77217.0,140,*,3579.539,3579.6,1.0,12742424.0,9921371.0,245079.0,2025.0,9580.0,instances/bms/300/cp.html,9980259.0,300-01-ASP-closure/bms3000/cp.html.lp.log.gz,,0.0,0,0,,69.0,3600.1,6686.0,unknown,91529.0,0.1,1.0,3600.005,13.0,NaN,64334.0,152.0,10.0,2043.0,9921303.0,196.0,9921293.0,58956.0,1.0,0.0,968.0
1.0,16830.0,9391.0,91449.0,,,1.874,1.9,1.0,36755.0,9464.0,299157.0,2025.0,9763.0,instances/bms/300/world192.txt,11825.0,300-01-ASP-closure/bms3000/world192.txt.lp.log.gz,531.0,1.0,1,169,169.0,73.0,2.0,14.0,opt,105952.0,0.1,,1.89,12.0,NaN,77893.0,115.0,74.0,2076.0,9391.0,153.0,9317.0,2434.0,1.0,0.0,227.0
,169606.0,51460.0,8035231.0,4,*,3583.677,3583.7,1.0,285665.0,51464.0,31381548.0,2025.0,119129.0,instances/bms/300/fibonacci.16,129360.0,300-01-ASP-closure/bms3000/fibonacci.16.lp.log.gz,,0.0,0,0,,5.0,3600.2,98.0,unknown,8180591.0,1.4,1.0,3600.052,14.0,NaN,7869408.0,1.0,0.0,23946.0,51460.0,300.0,51460.0,77900.0,1.0,0.0,175.0
,164338.0,104380.0,7300371.0,35,*,3582.988,3583.1,1.0,361465.0,104415.0,28468092.0,2025.0,115069.0,instances/bms/300/binary-de-brujin.11,153080.0,300-01-ASP-closure/bms3000/binary-de-brujin.11.lp.log.gz,,0.0,0,0,,36.0,3600.2,45.0,unknown,7441275.0,1.4,1.0,3600.041,13.0,NaN,7140232.0,45.0,75.0,23134.0,104380.0,300.0,104305.0,48700.0,1.0,0.0,335.0
1.0,18183.0,19425.0,122447.0,,,11.775,11.8,1.0,188867.0,19485.0,417734.0,2025.0,10708.0,instances/bms/300/book1,35737.0,300-01-ASP-closure/bms3000/book1.lp.log.gz,1057.0,1.0,1,201,201.0,60.0,12.0,41.0,opt,138110.0,0.1,,11.832,12.0,NaN,108161.0,431.0,62.0,2267.0,19425.0,183.0,19363.0,16312.0,1.0,0.0,434.0
