Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
,385507.0,12886714.0,341624.0,235,*,3580.21,3580.3,1.0,21440424.0,12886891.0,146555.0,2025.0,288521.0,instances/bms/1000/bible.txt,12886714.0,1000-04-ASP-order/bms3000/bible.txt.lp.log.gz,,0.0,0,0,,178.0,3600.1,7533.0,unknown,643092.0,0.8,1.0,3599.992,18.0,NaN,178111.0,155.0,106.0,41082.0,12886714.0,868.0,12886608.0,0.0,1.0,0.0,4925.0
,251777.0,21805334.0,223054.0,386,*,3582.36,3582.4,1.0,46287662.0,21805531.0,98563.0,2025.0,184626.0,instances/bms/1000/fields.c,21805334.0,1000-04-ASP-order/bms3000/fields.c.lp.log.gz,,0.0,0,0,,198.0,3600.1,32824.0,unknown,420568.0,0.3,1.0,3600.019,19.0,NaN,118540.0,225.0,70.0,26257.0,21805334.0,749.0,21805264.0,0.0,1.0,0.0,4710.0
,348098.0,11621296.0,308488.0,205,*,3582.988,3583.1,1.0,30447472.0,11621441.0,134745.0,2025.0,259398.0,instances/bms/1000/grammar.lsp,11621296.0,1000-04-ASP-order/bms3000/grammar.lsp.lp.log.gz,,0.0,0,0,,146.0,3600.1,25351.0,unknown,580890.0,0.2,1.0,3600.005,19.0,NaN,161511.0,308.0,61.0,36921.0,11621296.0,822.0,11621235.0,0.0,1.0,0.0,5504.0
,193363.0,4769140.0,170630.0,3,*,3584.212,3584.3,1.0,64810626.0,4769142.0,84536.0,2025.0,139137.0,instances/bms/1000/alphabet.txt,4769140.0,1000-04-ASP-order/bms3000/alphabet.txt.lp.log.gz,,0.0,0,0,,3.0,3600.1,16368.0,unknown,322736.0,0.3,1.0,3600.007,20.0,NaN,92693.0,1.0,0.0,19734.0,4769140.0,789.0,4769140.0,0.0,1.0,0.0,8612.0
1.0,275008.0,38403.0,243395.0,,,4.064,4.2,1.0,944047.0,38677.0,107465.0,2025.0,202564.0,instances/bms/1000/paper4,38403.0,1000-04-ASP-order/bms3000/paper4.lp.log.gz,4913.0,1.0,1,436,436.0,274.0,4.2,34.0,opt,459033.0,0.1,,4.092,18.0,NaN,128963.0,147.0,90.0,28819.0,38403.0,779.0,38313.0,0.0,1.0,0.0,1678.0
,3072558.0,2100385.0,2730025.0,225,*,3583.419,3583.5,1.0,672635068.0,2100465.0,998322.0,2025.0,2378200.0,instances/bms/1000/sum,2100385.0,1000-04-ASP-order/bms3000/sum.lp.log.gz,,0.0,0,0,,81.0,3600.1,6268.0,unknown,5121600.0,0.8,1.0,3600.004,20.0,NaN,1372333.0,25.0,32.0,339675.0,2100385.0,848.0,2100353.0,0.0,1.0,0.0,3016.0
,182406.0,24205948.0,161274.0,379,*,3582.498,3582.6,1.0,32492543.0,24206137.0,76703.0,2025.0,130521.0,instances/bms/1000/cp.html,24205948.0,1000-04-ASP-order/bms3000/cp.html.lp.log.gz,,0.0,0,0,,190.0,3600.2,16352.0,unknown,304936.0,0.2,1.0,3600.044,18.0,NaN,87824.0,120.0,56.0,18526.0,24205948.0,690.0,24205892.0,0.0,1.0,0.0,1783.0
1.0,260345.0,11058723.0,230511.0,,,341.461,341.6,1.0,31729685.0,11058958.0,102475.0,2025.0,191186.0,instances/bms/1000/world192.txt,11058723.0,1000-04-ASP-order/bms3000/world192.txt.lp.log.gz,5772.0,1.0,1,402,402.0,235.0,343.1,7181.0,opt,434719.0,0.1,,342.991,17.0,NaN,122442.0,177.0,119.0,27189.0,11058723.0,766.0,11058604.0,0.0,1.0,0.0,3809.0
,2395246.0,2533791.0,2128239.0,4,*,3584.084,3584.1,1.0,56354874.0,2533794.0,818124.0,2025.0,1851967.0,instances/bms/1000/fibonacci.16,2533791.0,1000-04-ASP-order/bms3000/fibonacci.16.lp.log.gz,,0.0,0,0,,4.0,3600.1,7023.0,unknown,3992651.0,0.5,1.0,3600.007,20.0,NaN,1071542.0,84.0,45.0,264424.0,2533791.0,986.0,2533746.0,0.0,1.0,0.0,5213.0
,2274715.0,4037895.0,2020687.0,104,*,3584.369,3584.4,1.0,34258461.0,4037999.0,777335.0,2025.0,1758202.0,instances/bms/1000/binary-de-brujin.11,4037895.0,1000-04-ASP-order/bms3000/binary-de-brujin.11.lp.log.gz,,0.0,0,0,,104.0,3600.1,2511.0,unknown,3791358.0,0.4,1.0,3599.999,18.0,NaN,1017570.0,79.0,48.0,251029.0,4037895.0,986.0,4037847.0,0.0,1.0,0.0,5197.0
1.0,283018.0,46393.0,250646.0,,,6.703,6.8,1.0,2181169.0,46657.0,108739.0,2025.0,208757.0,instances/bms/1000/book1,46393.0,1000-04-ASP-order/bms3000/book1.lp.log.gz,3713.0,1.0,1,471,471.0,264.0,6.9,50.0,opt,472467.0,0.1,,6.742,17.0,NaN,132566.0,144.0,68.0,29698.0,46393.0,787.0,46325.0,0.0,1.0,0.0,1684.0
1.0,190952.0,1874563.0,168994.0,,,182.2,182.3,1.0,5610219.0,1874819.0,80071.0,2025.0,137213.0,instances/bms/1000/asyoulik.txt,1874563.0,1000-04-ASP-order/bms3000/asyoulik.txt.lp.log.gz,4502.0,1.0,1,414,414.0,256.0,183.1,1740.0,opt,319243.0,0.1,,182.976,17.0,NaN,91636.0,263.0,94.0,19466.0,1874563.0,715.0,1874469.0,0.0,1.0,0.0,3519.0
1.0,4519451.0,0.0,4015952.0,,,43.128,44.3,1.0,489291.0,2.0,1524362.0,2025.0,3504499.0,instances/bms/1000/pic,0.0,1000-04-ASP-order/bms3000/pic.lp.log.gz,489292.0,1.0,1,2,2.0,2.0,44.6,0.0,opt,7532410.0,0.8,,43.34,19.0,NaN,2014951.0,0.0,0.0,500500.0,0.0,993.0,0.0,0.0,1.0,0.0,0.0
1.0,247785.0,609395.0,219488.0,,,19.117,19.2,1.0,3602477.0,609661.0,98412.0,2025.0,181517.0,instances/bms/1000/paper3,609395.0,1000-04-ASP-order/bms3000/paper3.lp.log.gz,4498.0,1.0,1,431,431.0,266.0,19.4,313.0,opt,413905.0,0.1,,19.206,18.0,NaN,116795.0,190.0,130.0,25806.0,609395.0,742.0,609265.0,0.0,1.0,0.0,2516.0
,239360.0,75729178.0,211951.0,466,*,3583.439,3583.5,1.0,250890193.0,75729434.0,94521.0,2025.0,174822.0,instances/bms/1000/news,75729178.0,1000-04-ASP-order/bms3000/news.lp.log.gz,,0.0,0,0,,256.0,3600.1,40838.0,unknown,399877.0,0.1,1.0,3599.997,20.0,NaN,113139.0,444.0,128.0,24853.0,75729178.0,711.0,75729050.0,0.0,1.0,0.0,6816.0
,1146653.0,9391065.0,1017997.0,203,*,3580.216,3580.3,1.0,257809391.0,9391267.0,402021.0,2025.0,880598.0,instances/bms/1000/E.coli,9391065.0,1000-04-ASP-order/bms3000/E.coli.lp.log.gz,,0.0,0,0,,203.0,3600.2,10442.0,unknown,1911366.0,1.1,1.0,3600.032,19.0,NaN,516368.0,358.0,121.0,125657.0,9391065.0,970.0,9390944.0,0.0,1.0,0.0,14322.0
1.0,4519451.0,0.0,4015952.0,,,40.8,42.0,1.0,489291.0,2.0,1524362.0,2025.0,3504499.0,instances/bms/1000/ptt5,0.0,1000-04-ASP-order/bms3000/ptt5.lp.log.gz,489292.0,1.0,1,2,2.0,2.0,42.2,0.0,opt,7532410.0,0.8,,40.979,18.0,NaN,2014951.0,0.0,0.0,500500.0,0.0,993.0,0.0,0.0,1.0,0.0,0.0
,214773.0,70366486.0,190311.0,440,*,3581.939,3582.0,1.0,359201807.0,70366726.0,86910.0,2025.0,155727.0,instances/bms/1000/paper1,70366486.0,1000-04-ASP-order/bms3000/paper1.lp.log.gz,,0.0,0,0,,241.0,3600.1,48613.0,unknown,359105.0,0.2,1.0,3600.028,18.0,NaN,102213.0,490.0,124.0,22120.0,70366486.0,709.0,70366362.0,0.0,1.0,0.0,7618.0
1.0,4519451.0,0.0,4015952.0,,,40.635,41.7,1.0,489291.0,2.0,1524362.0,2025.0,3504499.0,instances/bms/1000/aaa.txt,0.0,1000-04-ASP-order/bms3000/aaa.txt.lp.log.gz,489292.0,1.0,1,2,2.0,2.0,41.9,0.0,opt,7532410.0,0.8,,40.796,17.0,NaN,2014951.0,0.0,0.0,500500.0,0.0,993.0,0.0,0.0,1.0,0.0,0.0
,212939.0,17761934.0,188234.0,381,*,3580.948,3581.0,1.0,29490450.0,17762134.0,85980.0,2025.0,154353.0,instances/bms/1000/xargs.1,17761934.0,1000-04-ASP-order/bms3000/xargs.1.lp.log.gz,,0.0,0,0,,201.0,3600.1,14683.0,unknown,355589.0,0.2,1.0,3600.003,20.0,NaN,101351.0,353.0,101.0,21926.0,17761934.0,744.0,17761833.0,0.0,1.0,0.0,5201.0
,218540.0,53996178.0,193685.0,363,*,3583.341,3583.4,1.0,144038809.0,53996346.0,89000.0,2025.0,158641.0,instances/bms/1000/paper6,53996178.0,1000-04-ASP-order/bms3000/paper6.lp.log.gz,,0.0,0,0,,169.0,3600.1,34878.0,unknown,365396.0,0.1,1.0,3600.009,18.0,NaN,103900.0,20.0,63.0,22534.0,53996178.0,701.0,53996115.0,0.0,1.0,0.0,1199.0
,656892.0,20340971.0,583268.0,343,*,3581.866,3581.9,1.0,110573733.0,20341153.0,233966.0,2025.0,499767.0,instances/bms/1000/lcet10.txt,20340971.0,1000-04-ASP-order/bms3000/lcet10.txt.lp.log.gz,,0.0,0,0,,183.0,3600.1,15514.0,unknown,1095775.0,0.2,1.0,3600.002,19.0,NaN,298588.0,231.0,85.0,71268.0,20340971.0,805.0,20340886.0,0.0,1.0,0.0,9159.0
,2517121.0,4915144.0,2237018.0,5,*,3585.854,3586.0,1.0,42046895.0,4915149.0,858468.0,2025.0,1947391.0,instances/bms/1000/period-doubling.11,4915144.0,1000-04-ASP-order/bms3000/period-doubling.11.lp.log.gz,,0.0,0,0,,5.0,3600.1,13527.0,unknown,4196040.0,0.5,1.0,3600.001,19.0,NaN,1125793.0,5.0,9.0,278056.0,4915144.0,987.0,4915135.0,0.0,1.0,0.0,4043.0
,332153.0,128425062.0,294212.0,404,*,3582.394,3582.5,1.0,646693770.0,128425346.0,126503.0,2025.0,246976.0,instances/bms/1000/plrabn12.txt,128425062.0,1000-04-ASP-order/bms3000/plrabn12.txt.lp.log.gz,,0.0,0,0,,284.0,3600.1,78267.0,unknown,554250.0,0.1,1.0,3600.006,20.0,NaN,154400.0,345.0,104.0,35159.0,128425062.0,808.0,128424958.0,0.0,1.0,0.0,5116.0
,4465532.0,320686.0,3968000.0,11,*,3584.739,3584.9,1.0,107264595.0,320687.0,1503310.0,2025.0,3462598.0,instances/bms/1000/obj1,320686.0,1000-04-ASP-order/bms3000/obj1.lp.log.gz,,0.0,0,0,,2.0,3600.2,968.0,unknown,7442527.0,1.8,1.0,3600.009,20.0,NaN,1990939.0,0.0,0.0,494521.0,320686.0,987.0,320686.0,0.0,1.0,0.0,369.0
,263837.0,156251254.0,233836.0,468,*,3581.412,3581.5,1.0,684529247.0,156251503.0,102332.0,2025.0,193854.0,instances/bms/1000/trans,156251254.0,1000-04-ASP-order/bms3000/trans.lp.log.gz,,0.0,0,0,,250.0,3600.1,113488.0,unknown,440762.0,0.1,1.0,3600.005,18.0,NaN,124030.0,123.0,83.0,27569.0,156251254.0,740.0,156251171.0,0.0,1.0,0.0,2485.0
,218861.0,39632732.0,193563.0,415,*,3584.394,3584.5,1.0,108643813.0,39632963.0,88110.0,2025.0,158885.0,instances/bms/1000/progp,39632732.0,1000-04-ASP-order/bms3000/progp.lp.log.gz,,0.0,0,0,,231.0,3600.1,35108.0,unknown,365530.0,0.2,1.0,3600.005,19.0,NaN,104041.0,404.0,89.0,22570.0,39632732.0,763.0,39632643.0,0.0,1.0,0.0,8400.0
,186240.0,27608974.0,164810.0,412,*,3581.359,3581.4,1.0,63551597.0,27609178.0,77809.0,2025.0,133568.0,instances/bms/1000/paper5,27608974.0,1000-04-ASP-order/bms3000/paper5.lp.log.gz,,0.0,0,0,,204.0,3600.1,28579.0,unknown,311448.0,0.3,1.0,3600.003,19.0,NaN,89487.0,432.0,80.0,18959.0,27608974.0,675.0,27608894.0,0.0,1.0,0.0,10139.0
,416393.0,85421117.0,369309.0,391,*,3580.137,3580.2,1.0,439197615.0,85421357.0,155126.0,2025.0,312628.0,instances/bms/1000/alice29.txt,85421117.0,1000-04-ASP-order/bms3000/alice29.txt.lp.log.gz,,0.0,0,0,,241.0,3600.1,64729.0,unknown,694747.0,0.8,1.0,3600.008,20.0,NaN,191764.0,319.0,74.0,44531.0,85421117.0,861.0,85421043.0,0.0,1.0,0.0,5826.0
,547169.0,28024851.0,485193.0,261,*,3583.83,3583.9,1.0,359257166.0,28025001.0,199252.0,2025.0,414333.0,instances/bms/1000/progl,28024851.0,1000-04-ASP-order/bms3000/progl.lp.log.gz,,0.0,0,0,,151.0,3600.1,28514.0,unknown,912314.0,0.5,1.0,3600.012,18.0,NaN,249915.0,599.0,81.0,59054.0,28024851.0,940.0,28024770.0,0.0,1.0,0.0,11100.0
,557707.0,37605484.0,494540.0,387,*,3581.263,3581.3,1.0,55228401.0,37605499.0,188220.0,2025.0,422555.0,instances/bms/1000/kennedy.xls,37605484.0,1000-04-ASP-order/bms3000/kennedy.xls.lp.log.gz,,0.0,0,0,,16.0,3600.1,14546.0,unknown,930133.0,0.2,1.0,3600.007,17.0,NaN,254507.0,3.0,7.0,60280.0,37605484.0,708.0,37605477.0,0.0,1.0,0.0,260.0
,226473.0,22386098.0,200596.0,436,*,3584.775,3584.8,1.0,32837601.0,22386282.0,90477.0,2025.0,164889.0,instances/bms/1000/obj2,22386098.0,1000-04-ASP-order/bms3000/obj2.lp.log.gz,,0.0,0,0,,185.0,3600.1,16978.0,unknown,378464.0,0.2,1.0,3600.0,19.0,NaN,107305.0,337.0,74.0,23450.0,22386098.0,714.0,22386024.0,0.0,1.0,0.0,4661.0
,2269483.0,10320241.0,2016932.0,11,*,3583.053,3583.1,1.0,76955828.0,10320251.0,776574.0,2025.0,1754527.0,instances/bms/1000/paper-folding.10,10320241.0,1000-04-ASP-order/bms3000/paper-folding.10.lp.log.gz,,0.0,0,0,,11.0,3600.1,24911.0,unknown,3783422.0,0.4,1.0,3600.002,20.0,NaN,1015915.0,31.0,4.0,250504.0,10320241.0,985.0,10320237.0,0.0,1.0,0.0,4754.0
,210086.0,53219029.0,186120.0,458,*,3584.516,3584.6,1.0,564044296.0,53219267.0,85440.0,2025.0,152056.0,instances/bms/1000/bib,53219029.0,1000-04-ASP-order/bms3000/bib.lp.log.gz,,0.0,0,0,,239.0,3600.1,95509.0,unknown,351262.0,0.2,1.0,3600.0,19.0,NaN,100143.0,1118.0,84.0,21595.0,53219029.0,717.0,53218945.0,0.0,1.0,0.0,18295.0
,4429311.0,1031485.0,3936664.0,11,*,3578.508,3578.6,1.0,19320204.0,1031494.0,1495479.0,2025.0,3435199.0,instances/bms/1000/power2.11,1031485.0,1000-04-ASP-order/bms3000/power2.11.lp.log.gz,,0.0,0,0,,10.0,3600.1,1495.0,unknown,7382786.0,0.8,1.0,3600.004,19.0,NaN,1975263.0,36.0,42.0,490600.0,1031485.0,989.0,1031443.0,0.0,1.0,0.0,4504.0
,230169.0,19370056.0,203755.0,369,*,3582.955,3583.0,1.0,29401546.0,19370272.0,92410.0,2025.0,167825.0,instances/bms/1000/progc,19370056.0,1000-04-ASP-order/bms3000/progc.lp.log.gz,,0.0,0,0,,217.0,3600.1,13029.0,unknown,384452.0,0.3,1.0,3600.012,19.0,NaN,108955.0,267.0,107.0,23850.0,19370056.0,743.0,19369949.0,0.0,1.0,0.0,4870.0
,610441.0,8811812.0,542396.0,527,*,3585.47,3585.5,1.0,1674954366.0,8811987.0,216759.0,2025.0,463577.0,instances/bms/1000/geo,8811812.0,1000-04-ASP-order/bms3000/geo.lp.log.gz,,0.0,0,0,,176.0,3600.1,13264.0,unknown,1018956.0,0.3,1.0,3600.004,18.0,NaN,277787.0,166.0,52.0,66166.0,8811812.0,565.0,8811760.0,0.0,1.0,0.0,23958.0
1.0,80083.0,26.0,68297.0,,,0.358,0.5,1.0,23723.0,126.0,12317.0,2025.0,62508.0,instances/bms/1000/random.txt,26.0,1000-04-ASP-order/bms3000/random.txt.lp.log.gz,12105.0,1.0,1,892,892.0,100.0,0.6,0.0,opt,128806.0,0.1,,0.369,17.0,NaN,34148.0,2.0,11.0,8787.0,26.0,1000.0,15.0,0.0,1.0,0.0,24.0
