Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
,2432326.0,21341530.0,2160638.0,874,*,3581.013,3581.1,1.0,30366957.0,21342242.0,817163.0,2026.0,1885484.0,instances/bms/3000/paper4,21341530.0,07-ASP-order-trendy-usc-3000/bms3000/paper4.lp.log.gz,,0.0,0,0,,713.0,3600.1,11603.0,unknown,4049220.0,0.5,1.0,3600.004,1.0,NaN,1087651.0,91.0,136.0,268943.0,21341530.0,2849.0,21341394.0,0.0,1.0,0.0,2023.0
,14028475.0,8909391.0,12469626.0,814,*,3582.679,3583.0,1.0,120632475.0,8910161.0,7826234.0,2026.0,10904925.0,instances/bms/3000/sum,8909391.0,07-ASP-order-trendy-usc-3000/bms3000/sum.lp.log.gz,,0.0,0,0,,771.0,3600.3,4949.0,unknown,23377482.0,2.8,1.0,3600.006,1.0,NaN,6241195.0,655.0,522.0,1557486.0,8909391.0,2635.0,8908869.0,0.0,1.0,0.0,3678.0
,2031251.0,19136069.0,1804447.0,948,*,3585.776,3585.8,1.0,27162115.0,19136744.0,677640.0,2026.0,1573567.0,instances/bms/3000/world192.txt,19136069.0,07-ASP-order-trendy-usc-3000/bms3000/world192.txt.lp.log.gz,,0.0,0,0,,675.0,3600.1,12901.0,unknown,3381065.0,0.4,1.0,3600.001,1.0,NaN,909377.0,184.0,144.0,224380.0,19136069.0,2854.0,19135925.0,0.0,1.0,0.0,1482.0
1.0,2557145.0,1350024.0,2271747.0,,,873.091,874.0,1.0,664477134.0,1350809.0,853407.0,2026.0,1982867.0,instances/bms/3000/book1,1350024.0,07-ASP-order-trendy-usc-3000/bms3000/book1.lp.log.gz,24952.0,1.0,1,980,980.0,785.0,879.6,1625.0,opt,4257303.0,1.8,,878.716,0.0,NaN,1142903.0,672.0,314.0,282856.0,1350024.0,2853.0,1349710.0,0.0,1.0,0.0,9148.0
,1960644.0,27561687.0,1741595.0,952,*,3582.616,3582.7,1.0,82306063.0,27562437.0,660435.0,2026.0,1518654.0,instances/bms/3000/asyoulik.txt,27561687.0,07-ASP-order-trendy-usc-3000/bms3000/asyoulik.txt.lp.log.gz,,0.0,0,0,,751.0,3600.1,24643.0,unknown,3263294.0,0.4,1.0,3599.999,1.0,NaN,878015.0,225.0,201.0,216529.0,27561687.0,2855.0,27561486.0,0.0,1.0,0.0,4962.0
1.0,40522486.0,0.0,36017987.0,,,571.605,579.5,1.0,2995.0,3.0,22537460.0,2026.0,31513499.0,instances/bms/3000/pic,0.0,07-ASP-order-trendy-usc-3000/bms3000/pic.lp.log.gz,2996.0,1.0,1,2,2.0,3.0,582.1,0.0,opt,67531475.0,7.8,,574.108,0.0,NaN,18014986.0,0.0,0.0,4501500.0,0.0,2998.0,0.0,0.0,1.0,0.0,0.0
,2142945.0,15241946.0,1903573.0,933,*,3580.17,3580.3,1.0,42953189.0,15242652.0,717068.0,2026.0,1660484.0,instances/bms/3000/paper3,15241946.0,07-ASP-order-trendy-usc-3000/bms3000/paper3.lp.log.gz,,0.0,0,0,,707.0,3600.1,11662.0,unknown,3567078.0,0.4,1.0,3600.005,1.0,NaN,958984.0,336.0,224.0,236799.0,15241946.0,2820.0,15241722.0,0.0,1.0,0.0,7170.0
1.0,40522486.0,0.0,36017987.0,,,582.454,590.4,1.0,2995.0,3.0,22537460.0,2026.0,31513499.0,instances/bms/3000/ptt5,0.0,07-ASP-order-trendy-usc-3000/bms3000/ptt5.lp.log.gz,2996.0,1.0,1,2,2.0,3.0,593.7,0.0,opt,67531475.0,7.7,,585.674,0.0,NaN,18014986.0,0.0,0.0,4501500.0,0.0,2998.0,0.0,0.0,1.0,0.0,0.0
1.0,40522486.0,0.0,36017987.0,,,563.963,572.1,1.0,2995.0,3.0,22537460.0,2026.0,31513499.0,instances/bms/3000/aaa.txt,0.0,07-ASP-order-trendy-usc-3000/bms3000/aaa.txt.lp.log.gz,2996.0,1.0,1,2,2.0,3.0,574.7,0.0,opt,67531475.0,8.7,,566.488,0.0,NaN,18014986.0,0.0,0.0,4501500.0,0.0,2998.0,0.0,0.0,1.0,0.0,0.0
1.0,673633.0,8504.0,597096.0,,,5.45,5.6,1.0,1127395.0,9201.0,175169.0,2026.0,517765.0,instances/bms/3000/random.txt,8504.0,07-ASP-order-trendy-usc-3000/bms3000/random.txt.lp.log.gz,58273.0,1.0,1,2150,2150.0,697.0,5.7,4.0,opt,1117820.0,0.2,,5.485,0.0,NaN,305943.0,73.0,117.0,73538.0,8504.0,2833.0,8387.0,0.0,1.0,0.0,742.0
