CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Time taken,Uptime,Used memory
3586.0,2024.0,instances/bms/500/paper1,500-13-MaxSAT-PySAT-mgh/bms/500/paper1.gz.log.gz,0,0,3600.0,unknown,1.0,,12.0,NaN
3587.2,2024.0,instances/bms/500/paper3,500-13-MaxSAT-PySAT-mgh/bms/500/paper3.gz.log.gz,0,0,3600.0,unknown,1.3,,11.0,NaN
3441.8,2024.0,instances/bms/500/E.coli,500-13-MaxSAT-PySAT-mgh/bms/500/E.coli.gz.log.gz,0,0,3453.6,unknown,28.5,,12.0,NaN
3586.6,2024.0,instances/bms/500/book2,500-13-MaxSAT-PySAT-mgh/bms/500/book2.gz.log.gz,0,0,3600.1,unknown,2.3,,10.0,NaN
3586.1,2024.0,instances/bms/500/paper5,500-13-MaxSAT-PySAT-mgh/bms/500/paper5.gz.log.gz,0,0,3600.1,unknown,1.8,,13.0,NaN
1562.2,2024.0,instances/bms/500/kennedy.xls,500-13-MaxSAT-PySAT-mgh/bms/500/kennedy.xls.gz.log.gz,0,0,1568.0,unknown,8.6,,11.0,NaN
3586.1,2024.0,instances/bms/500/progp,500-13-MaxSAT-PySAT-mgh/bms/500/progp.gz.log.gz,0,0,3600.1,unknown,2.5,,10.0,NaN
3586.2,2024.0,instances/bms/500/plrabn12.txt,500-13-MaxSAT-PySAT-mgh/bms/500/plrabn12.txt.gz.log.gz,0,0,3600.1,unknown,2.5,,9.0,NaN
4.9,2024.0,instances/bms/500/alphabet.txt,500-13-MaxSAT-PySAT-mgh/bms/500/alphabet.txt.gz.log.gz,1,27,5.1,opt,0.3,4.6573,8.0,NaN
3588.5,2024.0,instances/bms/500/quaternary-paper-folding.11,500-13-MaxSAT-PySAT-mgh/bms/500/quaternary-paper-folding.11.gz.log.gz,0,0,3600.4,unknown,17.2,,10.0,NaN
2376.4,2024.0,instances/bms/500/pi.txt,500-13-MaxSAT-PySAT-mgh/bms/500/pi.txt.gz.log.gz,0,0,2384.9,unknown,5.8,,9.0,NaN
2848.2,2024.0,instances/bms/500/geo,500-13-MaxSAT-PySAT-mgh/bms/500/geo.gz.log.gz,0,0,2858.8,unknown,18.1,,11.0,NaN
3586.4,2024.0,instances/bms/500/cp.html,500-13-MaxSAT-PySAT-mgh/bms/500/cp.html.gz.log.gz,0,0,3600.0,unknown,1.2,,12.0,NaN
2.9,2024.0,instances/bms/500/random.txt,500-13-MaxSAT-PySAT-mgh/bms/500/random.txt.gz.log.gz,1,468,3.1,opt,0.1,2.7319,10.0,NaN
3587.5,2024.0,instances/bms/500/world192.txt,500-13-MaxSAT-PySAT-mgh/bms/500/world192.txt.gz.log.gz,0,0,3600.0,unknown,1.1,,11.0,NaN
3586.2,2024.0,instances/bms/500/paper2,500-13-MaxSAT-PySAT-mgh/bms/500/paper2.gz.log.gz,0,0,3600.1,unknown,2.9,,12.0,NaN
3587.8,2024.0,instances/bms/500/xargs.1,500-13-MaxSAT-PySAT-mgh/bms/500/xargs.1.gz.log.gz,0,0,3600.0,unknown,1.0,,9.0,NaN
3587.8,2024.0,instances/bms/500/trans,500-13-MaxSAT-PySAT-mgh/bms/500/trans.gz.log.gz,0,0,3600.0,unknown,2.1,,11.0,NaN
3587.2,2024.0,instances/bms/500/bib,500-13-MaxSAT-PySAT-mgh/bms/500/bib.gz.log.gz,0,0,3600.0,unknown,1.5,,9.0,NaN
3586.4,2024.0,instances/bms/500/news,500-13-MaxSAT-PySAT-mgh/bms/500/news.gz.log.gz,0,0,3600.0,unknown,1.0,,10.0,NaN
3586.5,2024.0,instances/bms/500/bible.txt,500-13-MaxSAT-PySAT-mgh/bms/500/bible.txt.gz.log.gz,0,0,3600.1,unknown,2.6,,12.0,NaN
3586.5,2024.0,instances/bms/500/progc,500-13-MaxSAT-PySAT-mgh/bms/500/progc.gz.log.gz,0,0,3600.1,unknown,3.3,,9.0,NaN
2265.3,2024.0,instances/bms/500/lcet10.txt,500-13-MaxSAT-PySAT-mgh/bms/500/lcet10.txt.gz.log.gz,0,0,2273.0,unknown,21.2,,11.0,NaN
3588.4,2024.0,instances/bms/500/alice29.txt,500-13-MaxSAT-PySAT-mgh/bms/500/alice29.txt.gz.log.gz,0,0,3600.3,unknown,11.0,,12.0,NaN
2857.2,2024.0,instances/bms/500/progl,500-13-MaxSAT-PySAT-mgh/bms/500/progl.gz.log.gz,0,0,2866.8,unknown,35.0,,8.0,NaN
1384.4,2024.0,instances/bms/500/obj2,500-13-MaxSAT-PySAT-mgh/bms/500/obj2.gz.log.gz,1,238,1389.6,opt,4.6,1387.5048,9.0,NaN
3586.5,2024.0,instances/bms/500/asyoulik.txt,500-13-MaxSAT-PySAT-mgh/bms/500/asyoulik.txt.gz.log.gz,0,0,3600.0,unknown,1.8,,10.0,NaN
3586.8,2024.0,instances/bms/500/paper4,500-13-MaxSAT-PySAT-mgh/bms/500/paper4.gz.log.gz,0,0,3600.1,unknown,1.3,,11.0,NaN
3587.5,2024.0,instances/bms/500/paper6,500-13-MaxSAT-PySAT-mgh/bms/500/paper6.gz.log.gz,0,0,3600.1,unknown,2.7,,9.0,NaN
3588.7,2024.0,instances/bms/500/vtm.11,500-13-MaxSAT-PySAT-mgh/bms/500/vtm.11.gz.log.gz,0,0,3600.9,unknown,30.2,,8.0,NaN
3588.0,2024.0,instances/bms/500/fields.c,500-13-MaxSAT-PySAT-mgh/bms/500/fields.c.gz.log.gz,0,0,3600.0,unknown,1.7,,10.0,NaN
3588.1,2024.0,instances/bms/500/book1,500-13-MaxSAT-PySAT-mgh/bms/500/book1.gz.log.gz,0,0,3600.0,unknown,2.2,,9.0,NaN
3587.0,2024.0,instances/bms/500/grammar.lsp,500-13-MaxSAT-PySAT-mgh/bms/500/grammar.lsp.gz.log.gz,0,0,3600.0,unknown,3.5,,12.0,NaN
