CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Time taken,Uptime,Used memory
3588.5,2024.0,instances/bms/500/paper1,500-12-MaxSAT-PySAT-g42/bms/500/paper1.gz.log.gz,0,0,3600.0,unknown,1.7,,17.0,NaN
3588.2,2024.0,instances/bms/500/paper3,500-12-MaxSAT-PySAT-g42/bms/500/paper3.gz.log.gz,0,0,3600.0,unknown,2.3,,16.0,NaN
3591.9,2024.0,instances/bms/500/E.coli,500-12-MaxSAT-PySAT-g42/bms/500/E.coli.gz.log.gz,0,0,3600.6,unknown,20.8,,18.0,NaN
3587.8,2024.0,instances/bms/500/book2,500-12-MaxSAT-PySAT-g42/bms/500/book2.gz.log.gz,0,0,3600.0,unknown,2.4,,14.0,NaN
3588.0,2024.0,instances/bms/500/paper5,500-12-MaxSAT-PySAT-g42/bms/500/paper5.gz.log.gz,0,0,3600.0,unknown,1.9,,18.0,NaN
3591.6,2024.0,instances/bms/500/kennedy.xls,500-12-MaxSAT-PySAT-g42/bms/500/kennedy.xls.gz.log.gz,0,0,3600.2,unknown,9.7,,16.0,NaN
3587.0,2024.0,instances/bms/500/progp,500-12-MaxSAT-PySAT-g42/bms/500/progp.gz.log.gz,0,0,3600.0,unknown,2.4,,15.0,NaN
3586.4,2024.0,instances/bms/500/plrabn12.txt,500-12-MaxSAT-PySAT-g42/bms/500/plrabn12.txt.gz.log.gz,0,0,3600.0,unknown,3.2,,14.0,NaN
5.0,2024.0,instances/bms/500/alphabet.txt,500-12-MaxSAT-PySAT-g42/bms/500/alphabet.txt.gz.log.gz,1,27,5.4,opt,0.3,4.9374,12.0,NaN
3591.0,2024.0,instances/bms/500/quaternary-paper-folding.11,500-12-MaxSAT-PySAT-g42/bms/500/quaternary-paper-folding.11.gz.log.gz,0,0,3600.4,unknown,16.4,,15.0,NaN
3589.6,2024.0,instances/bms/500/pi.txt,500-12-MaxSAT-PySAT-g42/bms/500/pi.txt.gz.log.gz,0,0,3600.0,unknown,3.7,,14.0,NaN
3588.5,2024.0,instances/bms/500/geo,500-12-MaxSAT-PySAT-g42/bms/500/geo.gz.log.gz,0,0,3600.5,unknown,18.6,,16.0,NaN
3587.1,2024.0,instances/bms/500/cp.html,500-12-MaxSAT-PySAT-g42/bms/500/cp.html.gz.log.gz,0,0,3600.0,unknown,2.1,,17.0,NaN
2.8,2024.0,instances/bms/500/random.txt,500-12-MaxSAT-PySAT-g42/bms/500/random.txt.gz.log.gz,1,468,3.0,opt,0.1,2.6088,14.0,NaN
3586.8,2024.0,instances/bms/500/world192.txt,500-12-MaxSAT-PySAT-g42/bms/500/world192.txt.gz.log.gz,0,0,3600.0,unknown,2.7,,16.0,NaN
3587.8,2024.0,instances/bms/500/paper2,500-12-MaxSAT-PySAT-g42/bms/500/paper2.gz.log.gz,0,0,3600.0,unknown,2.1,,17.0,NaN
3588.1,2024.0,instances/bms/500/xargs.1,500-12-MaxSAT-PySAT-g42/bms/500/xargs.1.gz.log.gz,0,0,3600.0,unknown,2.4,,14.0,NaN
3588.3,2024.0,instances/bms/500/trans,500-12-MaxSAT-PySAT-g42/bms/500/trans.gz.log.gz,0,0,3600.0,unknown,2.3,,16.0,NaN
3586.9,2024.0,instances/bms/500/bib,500-12-MaxSAT-PySAT-g42/bms/500/bib.gz.log.gz,0,0,3600.0,unknown,2.9,,14.0,NaN
3587.8,2024.0,instances/bms/500/news,500-12-MaxSAT-PySAT-g42/bms/500/news.gz.log.gz,0,0,3600.0,unknown,2.0,,15.0,NaN
3587.7,2024.0,instances/bms/500/bible.txt,500-12-MaxSAT-PySAT-g42/bms/500/bible.txt.gz.log.gz,0,0,3600.0,unknown,4.0,,17.0,NaN
3588.2,2024.0,instances/bms/500/progc,500-12-MaxSAT-PySAT-g42/bms/500/progc.gz.log.gz,0,0,3600.0,unknown,2.4,,13.0,NaN
3591.0,2024.0,instances/bms/500/lcet10.txt,500-12-MaxSAT-PySAT-g42/bms/500/lcet10.txt.gz.log.gz,0,0,3600.7,unknown,27.9,,17.0,NaN
3587.9,2024.0,instances/bms/500/alice29.txt,500-12-MaxSAT-PySAT-g42/bms/500/alice29.txt.gz.log.gz,0,0,3600.2,unknown,9.7,,17.0,NaN
3590.7,2024.0,instances/bms/500/progl,500-12-MaxSAT-PySAT-g42/bms/500/progl.gz.log.gz,0,0,3601.2,unknown,44.6,,13.0,NaN
3590.6,2024.0,instances/bms/500/obj2,500-12-MaxSAT-PySAT-g42/bms/500/obj2.gz.log.gz,0,0,3600.0,unknown,4.1,,15.0,NaN
3587.4,2024.0,instances/bms/500/asyoulik.txt,500-12-MaxSAT-PySAT-g42/bms/500/asyoulik.txt.gz.log.gz,0,0,3600.0,unknown,2.0,,15.0,NaN
3587.9,2024.0,instances/bms/500/paper4,500-12-MaxSAT-PySAT-g42/bms/500/paper4.gz.log.gz,0,0,3600.0,unknown,2.2,,15.0,NaN
3589.8,2024.0,instances/bms/500/paper6,500-12-MaxSAT-PySAT-g42/bms/500/paper6.gz.log.gz,0,0,3600.0,unknown,2.5,,13.0,NaN
3592.0,2024.0,instances/bms/500/vtm.11,500-12-MaxSAT-PySAT-g42/bms/500/vtm.11.gz.log.gz,0,0,3600.8,unknown,29.7,,13.0,NaN
