CPU time,Date,Instance,Log,Memory used,Mono,No. effective iterative eliminations,Obj updates,Obj val,Real time,Result,Sys time,UB=1 fails_ cnfls=0_ hcnfls=0_ core 0_ tier2 0_ local 0_ quasiC,UB=10 fails_ cnfls=95858_ hcnfls=68593_ core 9580_ tier2 1360_ local 9111_ quasiC,UB=13 fails_ cnfls=565680_ hcnfls=394350_ core 14311_ tier2 1344_ local 2301_ quasiC,UB=13 fails_ cnfls=8533_ hcnfls=6870_ core 613_ tier2 107_ local 742_ quasiC,UB=2 fails_ cnfls=1_ hcnfls=1_ core 0_ tier2 0_ local 0_ quasiC,UB=4 fails_ cnfls=120_ hcnfls=51_ core 21_ tier2 7_ local 77_ quasiC,UB=4 fails_ cnfls=2_ hcnfls=2_ core 0_ tier2 0_ local 0_ quasiC,UB=4 fails_ cnfls=228_ hcnfls=127_ core 85_ tier2 20_ local 167_ quasiC,UB=7 fails_ cnfls=21707_ hcnfls=16775_ core 1452_ tier2 258_ local 1667_ quasiC,UB=8 fails_ cnfls=2582_ hcnfls=826_ core 186_ tier2 44_ local 1568_ quasiC,UB=8 fails_ cnfls=3_ hcnfls=3_ core 0_ tier2 0_ local 0_ quasiC,UB=8 fails_ cnfls=3824_ hcnfls=1286_ core 298_ tier2 93_ local 3656_ quasiC,Uptime,Used memory,activeSoftLits 99_ Cardinality clauses,c [SCS] lower bound,conflict literals,conflicts,decisions,finally_ there are 99 isets (nb unitIsets,fixedCostBySearch 1_ nbSatSoftLits 0_ derivedCost 0_ttlFixedVars 1(135430)_ objForSearch,fixedCostBySearch 1_ nbSatSoftLits 0_ derivedCost 0_ttlFixedVars 1(500000)_ objForSearch,fixedCostBySearch 1_ nbSatSoftLits 0_ derivedCost 0_ttlFixedVars 1(520832)_ objForSearch,fixedCostBySearch 1_ nbSatSoftLits 0_ derivedCost 0_ttlFixedVars 1(747452)_ objForSearch,fixedCostBySearch 1_ nbSatSoftLits 0_ derivedCost 0_ttlFixedVars 1(937500)_ objForSearch,initCost,initial LB,initial UB,nb soft clauses,nbClsRdctn,nbGrbgCllct,nbHardens 14444 (fixed 201357)_ prunedLB 6.01_ dev 2.27_ succRate 0.46_ nbSucc 9446_ lk,nbHardens 15684 (fixed 170946)_ prunedLB 6.22_ dev 2.11_ succRate 0.33_ nbSucc 10450_ lk,nbHardens 1714 (fixed 10246)_ prunedLB 8.09_ dev 3.18_ succRate 0.18_ nbSucc 697_ lk,nbHardens 19717 (fixed 207476)_ prunedLB 4.84_ dev 1.52_ succRate 0.38_ nbSucc 2522_ lk,nbHardens 19822 (fixed 209243)_ prunedLB 3.31_ dev 0.94_ succRate 0.29_ nbSucc 42_ lk,nbHardens 19830 (fixed 209388)_ prunedLB 0.00_ dev 0.00_ succRate 0.00_ nbSucc 0_ lk,nbHardens 22558 (fixed 251562)_ prunedLB 4.88_ dev 1.23_ succRate 0.44_ nbSucc 2177_ lk,nbHardens 2349 (fixed 13838)_ prunedLB 6.39_ dev 3.13_ succRate 0.21_ nbSucc 269_ lk,nbHardens 28557 (fixed 311539)_ prunedLB 5.92_ dev 1.47_ succRate 0.43_ nbSucc 4762_ lk,nbHardens 3292 (fixed 24489)_ prunedLB 5.95_ dev 2.31_ succRate 0.44_ nbSucc 531_ lk,nbHardens 3568 (fixed 54147)_ prunedLB 4.14_ dev 1.33_ succRate 0.37_ nbSucc 3550_ lk,nbHardens 41418 (fixed 491570)_ prunedLB 7.01_ dev 2.44_ succRate 0.32_ nbSucc 27999_ lk,nbHardens 5168 (fixed 76899)_ prunedLB 4.00_ dev 1.28_ succRate 0.39_ nbSucc 5437_ lk,nbHardens 91566 (fixed 1079970)_ prunedLB 6.99_ dev 1.99_ succRate 0.46_ nbSucc 53242_ lk,nbLK,nbSimplifyAll,propagations,provided UB,prunedLB 0.00_ dev 0.00_ succRate 0.00_ nbSucc 0_ nbHardens 1 (fixed 99)_ lk,prunedLB 0.00_ dev 0.00_ succRate 0.00_ nbSucc 0_ nbHardens 3292 (fixed 24489)_ lk,prunedLB 2.00_ dev 0.00_ succRate 1.00_ nbSucc 1_ nbHardens 1 (fixed 99)_ lk,prunedLB 2.75_ dev 0.52_ succRate 0.51_ nbSucc 101_ nbHardens 91 (fixed 2073)_ lk,prunedLB 2.97_ dev 0.41_ succRate 0.71_ nbSucc 70_ nbHardens 43 (fixed 874)_ lk,prunedLB 3.71_ dev 0.97_ succRate 0.50_ nbSucc 1244_ nbHardens 4609 (fixed 72397)_ lk,prunedLB 4.00_ dev 0.00_ succRate 1.00_ nbSucc 1_ nbHardens 1 (fixed 99)_ lk,prunedLB 5.27_ dev 1.03_ succRate 0.67_ nbSucc 2383_ nbHardens 1920 (fixed 37856)_ lk,prunedLB 5.48_ dev 1.12_ succRate 0.67_ nbSucc 1625_ nbHardens 1400 (fixed 28048)_ lk,prunedLB 5.50_ dev 1.75_ succRate 0.41_ nbSucc 3788_ nbHardens 32736 (fixed 357568)_ lk,prunedLB 6.22_ dev 1.77_ succRate 0.52_ nbSucc 73043_ nbHardens 158672 (fixed 1934019)_ lk,prunedLB 8.00_ dev 0.00_ succRate 1.00_ nbSucc 1_ nbHardens 1 (fixed 99)_ lk,quasiC,restarts,s_cost_ratio,s_propagations,total nb of literals
1754.8,2025.0,instances/bms/100/quaternary-paper-folding.11,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/quaternary-paper-folding.11.gz.log.gz,352.0,0.0,2.0,4,14,1761.0,opt,0.8,0.0,,72358.0,,0.0,,0.0,,,449.0,,,14.0,352.0,3306.0,,229132169.0,565680.0,2249392.0,99.0,99.0,,,,,0.0,0.0,100.0,100.0,63.0,32.0,20548.0,,,,,,,,,,,86641.0,,115372.0,364709.0,24.0,4171607406.0,100.0,1.0,,1.0,,,,1.0,,2431.0,,139714.0,,45901.0,2238.0,14.23,593520399.0,1048430.0
1.5,2025.0,instances/bms/100/pi.txt,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/pi.txt.gz.log.gz,,,,2,71,1.5,opt,0.1,,,,,,,,,,,,,14.0,NaN,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.9,2025.0,instances/bms/100/geo,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/geo.gz.log.gz,,,,2,41,23.0,opt,0.2,,,,,,,,,,,,,14.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2025.0,instances/bms/100/cp.html,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/cp.html.gz.log.gz,,,,2,76,0.1,opt,0.1,,,,,,,,,,,,,14.0,NaN,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2025.0,instances/bms/100/random.txt,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/random.txt.gz.log.gz,,,,1,99,0.1,opt,0.0,,,,,,,,,,,,,14.0,NaN,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,2025.0,instances/bms/100/world192.txt,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/world192.txt.gz.log.gz,,,,2,84,0.4,opt,0.1,,,,,,,,,,,,,14.0,NaN,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.2,2025.0,instances/bms/100/binary-de-brujin.11,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/binary-de-brujin.11.gz.log.gz,940.0,0.0,2.0,4,14,537.0,opt,0.7,0.0,,,3298.0,0.0,,0.0,,,,0.0,,14.0,940.0,3475.0,,22686171.0,8533.0,497324.0,99.0,,,,,99.0,0.0,0.0,100.0,100.0,3.0,1.0,,,3906.0,,,,,1260.0,,1204.0,,,,,6374.0,2.0,272980106.0,100.0,1.0,0.0,1.0,,,,1.0,,,,,1.0,3298.0,107.0,307.99,840746247.0,7619508.0
0.5,2025.0,instances/bms/100/paper2,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/paper2.gz.log.gz,,,,2,77,0.5,opt,0.1,,,,,,,,,,,,,14.0,NaN,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2025.0,instances/bms/100/xargs.1,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/xargs.1.gz.log.gz,,,,2,81,0.5,opt,0.1,,,,,,,,,,,,,14.0,NaN,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,2025.0,instances/bms/100/period-doubling.11,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/period-doubling.11.gz.log.gz,,0.0,2.0,2,8,3600.0,unknown,0.1,0.0,,,,0.0,,,62.0,,,,,15.0,NaN,2106.0,,,,,99.0,,,,99.0,,,0.0,100.0,100.0,,,,,,,,,,,,,,,14103.0,,,,,100.0,1.0,,1.0,198.0,,,,,,,,,4430.0,,,,6061032.0
0.6,2025.0,instances/bms/100/trans,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/trans.gz.log.gz,,,,2,70,0.6,opt,0.1,,,,,,,,,,,,,14.0,NaN,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.4,2025.0,instances/bms/100/sum,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/sum.gz.log.gz,,,,2,42,79.7,opt,0.3,,,,,,,,,,,,,14.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2025.0,instances/bms/100/bib,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/bib.gz.log.gz,,,,2,88,0.5,opt,0.1,,,,,,,,,,,,,14.0,NaN,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,2025.0,instances/bms/100/news,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/news.gz.log.gz,,,,2,80,0.2,opt,0.1,,,,,,,,,,,,,14.0,NaN,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.4,2025.0,instances/bms/100/power2.11,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/power2.11.gz.log.gz,,,,2,9,284.4,opt,0.6,,,,,,,,,,,,,14.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6,2025.0,instances/bms/100/bible.txt,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/bible.txt.gz.log.gz,,,,2,64,4.6,opt,0.1,,,,,,,,,,,,,14.0,NaN,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,2025.0,instances/bms/100/fibonacci.16,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/fibonacci.16.gz.log.gz,,,,2,4,5.2,opt,0.3,,,,,,,,,,,,,14.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,2025.0,instances/bms/100/progc,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/progc.gz.log.gz,,,,2,80,0.6,opt,0.1,,,,,,,,,,,,,14.0,NaN,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3,2025.0,instances/bms/100/lcet10.txt,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/lcet10.txt.gz.log.gz,,,,2,64,9.3,opt,0.1,,,,,,,,,,,,,14.0,NaN,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2025.0,instances/bms/100/obj1,100-10-MaxSAT-MaxCDCL-openwbo/bms/100/obj1.gz.log.gz,,,,2,11,4.1,opt,0.4,,,,,,,,,,,,,14.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
