CPU time,Date,Instance,Log,Obj updates,Obj val,Real time,Result,Sys time,Time taken,Uptime,Used memory
0.4,2024.0,instances/bms/100/paper1,100-12-MaxSAT-PySAT-g42/bms/100/paper1.gz.log.gz,1,79,0.4,opt,0.1,0.2061,1.0,NaN
0.3,2024.0,instances/bms/100/paper3,100-12-MaxSAT-PySAT-g42/bms/100/paper3.gz.log.gz,1,76,0.4,opt,0.1,0.1824,1.0,NaN
3.3,2024.0,instances/bms/100/E.coli,100-12-MaxSAT-PySAT-g42/bms/100/E.coli.gz.log.gz,1,33,3.3,opt,0.1,3.0742,1.0,NaN
0.3,2024.0,instances/bms/100/book2,100-12-MaxSAT-PySAT-g42/bms/100/book2.gz.log.gz,1,83,0.3,opt,0.1,0.1464,1.0,NaN
25.7,2024.0,instances/bms/100/pic,100-12-MaxSAT-PySAT-g42/bms/100/pic.gz.log.gz,1,2,25.8,opt,1.0,24.9943,1.0,NaN
26.2,2024.0,instances/bms/100/ptt5,100-12-MaxSAT-PySAT-g42/bms/100/ptt5.gz.log.gz,1,2,26.4,opt,1.0,25.5452,1.0,NaN
260.5,2024.0,instances/bms/100/paper-folding.10,100-12-MaxSAT-PySAT-g42/bms/100/paper-folding.10.gz.log.gz,1,11,261.2,opt,0.5,260.8762,1.0,NaN
0.7,2024.0,instances/bms/100/paper5,100-12-MaxSAT-PySAT-g42/bms/100/paper5.gz.log.gz,1,54,0.7,opt,0.1,0.5132,1.0,NaN
83.2,2024.0,instances/bms/100/thue-morse.11,100-12-MaxSAT-PySAT-g42/bms/100/thue-morse.11.gz.log.gz,1,8,83.5,opt,0.4,83.088,1.0,NaN
2.1,2024.0,instances/bms/100/kennedy.xls,100-12-MaxSAT-PySAT-g42/bms/100/kennedy.xls.gz.log.gz,1,58,2.2,opt,0.1,1.9322,1.0,NaN
0.3,2024.0,instances/bms/100/progp,100-12-MaxSAT-PySAT-g42/bms/100/progp.gz.log.gz,1,82,0.3,opt,0.1,0.1333,1.0,NaN
48.5,2024.0,instances/bms/100/tribonacci.13,100-12-MaxSAT-PySAT-g42/bms/100/tribonacci.13.gz.log.gz,1,8,48.8,opt,0.3,48.3268,1.0,NaN
0.4,2024.0,instances/bms/100/plrabn12.txt,100-12-MaxSAT-PySAT-g42/bms/100/plrabn12.txt.gz.log.gz,1,79,0.4,opt,0.1,0.2542,1.0,NaN
16.5,2024.0,instances/bms/100/kolakoski.17,100-12-MaxSAT-PySAT-g42/bms/100/kolakoski.17.gz.log.gz,1,10,16.5,opt,0.3,16.1841,1.0,NaN
0.2,2024.0,instances/bms/100/alphabet.txt,100-12-MaxSAT-PySAT-g42/bms/100/alphabet.txt.gz.log.gz,1,27,0.2,opt,0.1,0.0591,1.0,NaN
3587.5,2024.0,instances/bms/100/quaternary-paper-folding.11,100-12-MaxSAT-PySAT-g42/bms/100/quaternary-paper-folding.11.gz.log.gz,0,0,3600.0,unknown,2.4,,2.0,NaN
0.6,2024.0,instances/bms/100/pi.txt,100-12-MaxSAT-PySAT-g42/bms/100/pi.txt.gz.log.gz,1,71,0.6,opt,0.1,0.3995,1.0,NaN
13.2,2024.0,instances/bms/100/geo,100-12-MaxSAT-PySAT-g42/bms/100/geo.gz.log.gz,1,41,13.3,opt,0.3,12.9724,1.0,NaN
0.2,2024.0,instances/bms/100/cp.html,100-12-MaxSAT-PySAT-g42/bms/100/cp.html.gz.log.gz,1,76,0.3,opt,0.1,0.0726,1.0,NaN
0.2,2024.0,instances/bms/100/random.txt,100-12-MaxSAT-PySAT-g42/bms/100/random.txt.gz.log.gz,1,99,0.2,opt,0.1,0.0222,1.0,NaN
0.3,2024.0,instances/bms/100/world192.txt,100-12-MaxSAT-PySAT-g42/bms/100/world192.txt.gz.log.gz,1,84,0.4,opt,0.1,0.1816,1.0,NaN
26.8,2024.0,instances/bms/100/binary-de-brujin.11,100-12-MaxSAT-PySAT-g42/bms/100/binary-de-brujin.11.gz.log.gz,1,14,26.9,opt,0.6,26.4166,1.0,NaN
0.4,2024.0,instances/bms/100/paper2,100-12-MaxSAT-PySAT-g42/bms/100/paper2.gz.log.gz,1,77,0.4,opt,0.1,0.2508,1.0,NaN
0.4,2024.0,instances/bms/100/xargs.1,100-12-MaxSAT-PySAT-g42/bms/100/xargs.1.gz.log.gz,1,81,0.4,opt,0.1,0.2177,1.0,NaN
262.3,2024.0,instances/bms/100/period-doubling.11,100-12-MaxSAT-PySAT-g42/bms/100/period-doubling.11.gz.log.gz,1,7,263.0,opt,0.6,262.5715,1.0,NaN
0.4,2024.0,instances/bms/100/trans,100-12-MaxSAT-PySAT-g42/bms/100/trans.gz.log.gz,1,70,0.4,opt,0.1,0.2024,1.0,NaN
29.7,2024.0,instances/bms/100/sum,100-12-MaxSAT-PySAT-g42/bms/100/sum.gz.log.gz,1,42,29.8,opt,0.4,29.3536,1.0,NaN
0.3,2024.0,instances/bms/100/bib,100-12-MaxSAT-PySAT-g42/bms/100/bib.gz.log.gz,1,88,0.4,opt,0.1,0.1628,1.0,NaN
