Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
,49801.0,67337584.0,43168.0,130,*,3583.206,3583.3,1.0,170067517.0,67337650.0,33318.0,2025.0,27277.0,instances/bms/300/bible.txt,67337584.0,300-04-ASP-order/bms3000/bible.txt.lp.log.gz,,0.0,0,0,,67.0,3600.1,71906.0,unknown,84923.0,0.2,1.0,3600.053,10.0,NaN,27809.0,218.0,28.0,3862.0,67337584.0,0.0,67337556.0,0.0,1.0,0.0,6168.0
1.0,32310.0,7410.0,27356.0,,,0.306,0.4,1.0,17938.0,7485.0,19400.0,2025.0,17864.0,instances/bms/300/fields.c,7410.0,300-04-ASP-order/bms3000/fields.c.lp.log.gz,630.0,1.0,1,185,185.0,75.0,0.4,0.0,opt,54289.0,0.0,,0.317,10.0,NaN,16999.0,22.0,20.0,2531.0,7410.0,0.0,7390.0,0.0,1.0,0.0,421.0
1.0,39975.0,633658.0,34066.0,,,39.476,39.5,1.0,1186359.0,633731.0,25910.0,2025.0,21950.0,instances/bms/300/grammar.lsp,633658.0,300-04-ASP-order/bms3000/grammar.lsp.lp.log.gz,478.0,1.0,1,139,139.0,73.0,39.7,571.0,opt,67513.0,0.0,,39.643,10.0,NaN,21780.0,92.0,25.0,3105.0,633658.0,0.0,633633.0,0.0,1.0,0.0,1432.0
,19356.0,41739227.0,14473.0,4,*,3580.537,3580.6,1.0,194296614.0,41739230.0,5340.0,2025.0,13487.0,instances/bms/300/alphabet.txt,41739227.0,300-04-ASP-order/bms3000/alphabet.txt.lp.log.gz,,0.0,0,0,,4.0,3600.1,145695.0,unknown,29461.0,0.4,1.0,3600.015,11.0,NaN,7236.0,8.0,1.0,1884.0,41739227.0,300.0,41739226.0,0.0,1.0,0.0,6619.0
1.0,21091.0,28481.0,16341.0,,,0.468,0.5,1.0,80650.0,28539.0,4770.0,2025.0,14774.0,instances/bms/300/paper4,28481.0,300-04-ASP-order/bms3000/paper4.lp.log.gz,1604.0,1.0,1,211,211.0,58.0,0.6,10.0,opt,32760.0,0.0,,0.476,10.0,NaN,7992.0,14.0,15.0,2089.0,28481.0,208.0,28466.0,0.0,1.0,0.0,372.0
1.0,219935.0,1552072.0,194426.0,,,167.099,167.2,1.0,74292603.0,1552111.0,88364.0,2025.0,157977.0,instances/bms/300/sum,1552072.0,300-04-ASP-order/bms3000/sum.lp.log.gz,602.0,1.0,1,108,108.0,39.0,168.0,1134.0,opt,368864.0,0.1,,167.833,10.0,NaN,104469.0,14.0,23.0,22570.0,1552072.0,183.0,1552049.0,0.0,1.0,0.0,1177.0
,20683.0,35788897.0,16022.0,140,*,3582.4,3582.4,1.0,48761143.0,35788965.0,5712.0,2025.0,14456.0,instances/bms/300/cp.html,35788897.0,300-04-ASP-order/bms3000/cp.html.lp.log.gz,,0.0,0,0,,69.0,3600.1,21684.0,unknown,32121.0,0.1,1.0,3600.018,11.0,NaN,7812.0,189.0,12.0,2043.0,35788897.0,196.0,35788885.0,0.0,1.0,0.0,3474.0
1.0,26257.0,8112.0,22005.0,,,0.326,0.4,1.0,17587.0,8185.0,15286.0,2025.0,14715.0,instances/bms/300/world192.txt,8112.0,300-04-ASP-order/bms3000/world192.txt.lp.log.gz,526.0,1.0,1,169,169.0,73.0,0.4,0.0,opt,43752.0,0.0,,0.342,10.0,NaN,13217.0,31.0,26.0,2076.0,8112.0,0.0,8086.0,0.0,1.0,0.0,345.0
1.0,232426.0,2915670.0,205897.0,,,596.256,596.4,1.0,22143608.0,2915674.0,97953.0,2025.0,167921.0,instances/bms/300/fibonacci.16,2915670.0,300-04-ASP-order/bms3000/fibonacci.16.lp.log.gz,278.0,1.0,1,4,4.0,4.0,599.6,7616.0,opt,389879.0,0.1,,599.465,10.0,NaN,110412.0,54.0,0.0,23946.0,2915670.0,252.0,2915670.0,0.0,1.0,0.0,2228.0
,225331.0,18900091.0,199198.0,35,*,3587.658,3587.7,1.0,53783819.0,18900125.0,95193.0,2025.0,162237.0,instances/bms/300/binary-de-brujin.11,18900091.0,300-04-ASP-order/bms3000/binary-de-brujin.11.lp.log.gz,,0.0,0,0,,35.0,3600.1,12384.0,unknown,377706.0,0.2,1.0,3600.002,10.0,NaN,106961.0,25.0,20.0,23134.0,18900091.0,255.0,18900071.0,0.0,1.0,0.0,1077.0
1.0,22717.0,2154.0,17667.0,,,0.153,0.2,1.0,20077.0,2214.0,5090.0,2025.0,16052.0,instances/bms/300/book1,2154.0,300-04-ASP-order/bms3000/book1.lp.log.gz,1161.0,1.0,1,201,201.0,60.0,0.3,0.0,opt,35333.0,0.0,,0.165,9.0,NaN,8718.0,12.0,11.0,2267.0,2154.0,183.0,2143.0,0.0,1.0,0.0,252.0
1.0,19394.0,1460.0,14988.0,,,0.113,0.2,1.0,12589.0,1528.0,4754.0,2025.0,13471.0,instances/bms/300/asyoulik.txt,1460.0,300-04-ASP-order/bms3000/asyoulik.txt.lp.log.gz,1051.0,1.0,1,187,187.0,68.0,0.2,0.0,opt,30060.0,0.0,,0.121,10.0,NaN,7244.0,10.0,18.0,1896.0,1460.0,189.0,1442.0,0.0,1.0,0.0,188.0
1.0,423575.0,1.0,375426.0,,,2.507,2.6,1.0,39726.0,3.0,161288.0,2025.0,316349.0,instances/bms/300/pic,1.0,300-04-ASP-order/bms3000/pic.lp.log.gz,39725.0,1.0,1,2,2.0,2.0,2.6,0.0,opt,708126.0,0.1,,2.515,10.0,NaN,195125.0,0.0,0.0,45150.0,1.0,275.0,1.0,0.0,1.0,0.0,0.0
1.0,20687.0,13804023.0,15910.0,,,227.757,227.8,1.0,32882378.0,13804082.0,4701.0,2025.0,14466.0,instances/bms/300/paper3,13804023.0,300-04-ASP-order/bms3000/paper3.lp.log.gz,1413.0,1.0,1,195,195.0,59.0,228.4,7084.0,opt,32016.0,0.0,,228.276,10.0,NaN,7810.0,100.0,21.0,2045.0,13804023.0,186.0,13804002.0,0.0,1.0,0.0,1957.0
