Acyc-Edges,Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Acyc,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
7124.0,,21971.0,79655498.0,22472.0,130,*,3584.315,3584.4,1.0,149562277.0,79655564.0,10653.0,2025.0,18662.0,instances/bms/300/bible.txt,148436832.0,300-03-ASP-acyclicity/bms3000/bible.txt.lp.log.gz,,0.0,0,0,,67.0,3600.1,59689.0,unknown,43874.0,0.1,1.0,3600.044,9.0,NaN,7711.0,7124.0,202.0,25.0,3862.0,79655498.0,237.0,79655473.0,68781334.0,1.0,0.0,15159.0
4462.0,1.0,15271.0,5893.0,14811.0,,,0.184,0.2,1.0,12213.0,5968.0,6468.0,2025.0,11958.0,instances/bms/300/fields.c,7954.0,300-03-ASP-acyclicity/bms3000/fields.c.lp.log.gz,1390.0,1.0,1,185,185.0,75.0,0.2,0.0,opt,29554.0,0.0,,0.186,8.0,NaN,5034.0,4462.0,14.0,16.0,2531.0,5893.0,181.0,5877.0,2061.0,1.0,0.0,575.0
5610.0,1.0,18153.0,479888.0,17866.0,,,22.269,22.3,1.0,948659.0,479961.0,8557.0,2025.0,14834.0,instances/bms/300/grammar.lsp,796608.0,300-03-ASP-acyclicity/bms3000/grammar.lsp.lp.log.gz,622.0,1.0,1,139,139.0,73.0,22.4,256.0,opt,35473.0,0.0,,22.353,8.0,NaN,6186.0,5610.0,90.0,17.0,3105.0,479888.0,216.0,479871.0,316720.0,1.0,0.0,3807.0
3168.0,,12120.0,34017070.0,10405.0,3,*,3586.646,3586.7,1.0,170560888.0,34017072.0,5340.0,2025.0,8819.0,instances/bms/300/alphabet.txt,41623903.0,300-03-ASP-acyclicity/bms3000/alphabet.txt.lp.log.gz,,0.0,0,0,,3.0,3600.1,172167.0,unknown,21925.0,0.1,1.0,3600.005,10.0,NaN,3768.0,3168.0,9.0,0.0,1884.0,34017070.0,300.0,34017070.0,7606833.0,1.0,0.0,12356.0
3578.0,1.0,13049.0,47170.0,11905.0,,,0.709,0.8,1.0,80122.0,47228.0,4770.0,2025.0,9730.0,instances/bms/300/paper4,89852.0,300-03-ASP-acyclicity/bms3000/paper4.lp.log.gz,1416.0,1.0,1,211,211.0,58.0,0.8,4.0,opt,24432.0,0.0,,0.713,8.0,NaN,4146.0,3578.0,22.0,13.0,2089.0,47170.0,208.0,47157.0,42682.0,1.0,0.0,923.0
44540.0,1.0,129991.0,1326367.0,149094.0,,,241.402,241.5,1.0,11824763.0,1326406.0,88364.0,2025.0,112093.0,instances/bms/300/sum,16282150.0,300-03-ASP-acyclicity/bms3000/sum.lp.log.gz,654.0,1.0,1,108,108.0,39.0,242.9,1036.0,opt,278656.0,0.1,,242.784,9.0,NaN,59677.0,44540.0,20.0,37.0,22570.0,1326367.0,183.0,1326330.0,14955783.0,1.0,0.0,13646.0
3486.0,,12825.0,42228457.0,11678.0,138,*,3505.201,3505.3,1.0,54844677.0,42228523.0,5712.0,2025.0,9508.0,instances/bms/300/cp.html,42245618.0,300-03-ASP-acyclicity/bms3000/cp.html.lp.log.gz,,0.0,0,0,,67.0,3600.1,26473.0,unknown,23977.0,9.5,1.0,3600.005,10.0,NaN,4056.0,3486.0,60.0,13.0,2043.0,42228456.0,196.0,42228444.0,17162.0,1.0,0.0,1718.0
3552.0,1.0,12987.0,33351.0,12305.0,,,0.78,0.8,1.0,48334.0,33424.0,5842.0,2025.0,9664.0,instances/bms/300/world192.txt,35390.0,300-03-ASP-acyclicity/bms3000/world192.txt.lp.log.gz,843.0,1.0,1,169,169.0,73.0,0.9,9.0,opt,24763.0,0.0,,0.793,8.0,NaN,4121.0,3552.0,27.0,14.0,2076.0,33351.0,153.0,33337.0,2039.0,1.0,0.0,551.0
47292.0,1.0,136942.0,2620050.0,157705.0,,,563.262,563.4,1.0,13202986.0,2620054.0,97953.0,2025.0,119129.0,instances/bms/300/fibonacci.16,5720914.0,300-03-ASP-acyclicity/bms3000/fibonacci.16.lp.log.gz,84.0,1.0,1,4,4.0,4.0,566.4,6045.0,opt,294095.0,0.1,,566.312,9.0,NaN,62820.0,47292.0,39.0,0.0,23946.0,2620050.0,252.0,2620050.0,3100864.0,1.0,0.0,28039.0
45668.0,,133095.0,14664978.0,152630.0,35,*,3581.432,3581.5,1.0,28375003.0,14665012.0,95193.0,2025.0,115069.0,instances/bms/300/binary-de-brujin.11,134436625.0,300-03-ASP-acyclicity/bms3000/binary-de-brujin.11.lp.log.gz,,0.0,0,0,,35.0,3600.1,9573.0,unknown,285170.0,0.1,1.0,3600.007,9.0,NaN,60993.0,45668.0,158.0,232.0,23134.0,14664978.0,255.0,14664746.0,119771647.0,1.0,0.0,5717.0
3934.0,1.0,13960.0,1313.0,12866.0,,,0.1,0.2,1.0,5699.0,1373.0,5090.0,2025.0,10645.0,instances/bms/300/book1,2521.0,300-03-ASP-acyclicity/bms3000/book1.lp.log.gz,1073.0,1.0,1,201,201.0,60.0,0.2,0.0,opt,26287.0,0.0,,0.107,8.0,NaN,4509.0,3934.0,11.0,13.0,2267.0,1313.0,183.0,1300.0,1208.0,1.0,0.0,453.0
3192.0,1.0,12120.0,4295.0,10926.0,,,0.119,0.2,1.0,11397.0,4363.0,4754.0,2025.0,8809.0,instances/bms/300/asyoulik.txt,12163.0,300-03-ASP-acyclicity/bms3000/asyoulik.txt.lp.log.gz,977.0,1.0,1,187,187.0,68.0,0.2,0.0,opt,22496.0,0.0,,0.13,8.0,NaN,3772.0,3192.0,8.0,19.0,1896.0,4295.0,189.0,4276.0,7868.0,1.0,0.0,466.0
89700.0,1.0,243275.0,26676.0,284826.0,,,34.404,34.5,1.0,1352948.0,26678.0,161288.0,2025.0,225149.0,instances/bms/300/pic,45400.0,300-03-ASP-acyclicity/bms3000/pic.lp.log.gz,1509.0,1.0,1,2,2.0,2.0,34.7,29.0,opt,527526.0,0.1,,34.532,9.0,NaN,105125.0,89700.0,0.0,0.0,45150.0,26676.0,275.0,26676.0,18724.0,1.0,0.0,3157.0
3490.0,1.0,12820.0,8998505.0,11559.0,,,215.496,215.5,1.0,17681991.0,8998564.0,4701.0,2025.0,9497.0,instances/bms/300/paper3,20106187.0,300-03-ASP-acyclicity/bms3000/paper3.lp.log.gz,1379.0,1.0,1,195,195.0,59.0,216.5,4956.0,opt,23862.0,0.0,,216.431,8.0,NaN,4055.0,3490.0,131.0,16.0,2045.0,8998505.0,186.0,8998489.0,11107682.0,1.0,0.0,3635.0
3258.0,1.0,12240.0,1033467.0,11036.0,,,56.27,56.3,1.0,1277719.0,1033516.0,4368.0,2025.0,8923.0,instances/bms/300/news,1038996.0,300-03-ASP-acyclicity/bms3000/news.lp.log.gz,1587.0,1.0,1,207,207.0,49.0,56.6,374.0,opt,22765.0,0.1,,56.515,9.0,NaN,3823.0,3258.0,10.0,7.0,1929.0,1033467.0,194.0,1033460.0,5529.0,1.0,0.0,872.0
23228.0,,77020.0,46343720.0,85335.0,71,*,3587.599,3587.7,1.0,87893443.0,46343790.0,61642.0,2025.0,58969.0,instances/bms/300/E.coli,185552490.0,300-03-ASP-acyclicity/bms3000/E.coli.lp.log.gz,,0.0,0,0,,71.0,3600.1,27428.0,unknown,161857.0,0.2,1.0,3600.002,10.0,NaN,38578.0,23228.0,218.0,301.0,11914.0,46343720.0,198.0,46343419.0,139208770.0,1.0,0.0,10276.0
89700.0,1.0,243275.0,26676.0,284826.0,,,33.888,34.0,1.0,1352948.0,26678.0,161288.0,2025.0,225149.0,instances/bms/300/ptt5,45400.0,300-03-ASP-acyclicity/bms3000/ptt5.lp.log.gz,1509.0,1.0,1,2,2.0,2.0,34.2,29.0,opt,527526.0,0.1,,34.06,8.0,NaN,105125.0,89700.0,0.0,0.0,45150.0,26676.0,275.0,26676.0,18724.0,1.0,0.0,3157.0
3248.0,1.0,12245.0,40866.0,11172.0,,,0.991,1.0,1.0,72788.0,40921.0,4780.0,2025.0,8926.0,instances/bms/300/paper1,123860.0,300-03-ASP-acyclicity/bms3000/paper1.lp.log.gz,995.0,1.0,1,193,193.0,55.0,1.1,11.0,opt,22874.0,0.0,,0.996,8.0,NaN,3823.0,3248.0,33.0,19.0,1924.0,40866.0,163.0,40847.0,82994.0,1.0,0.0,1476.0
89700.0,1.0,243275.0,26676.0,284826.0,,,34.247,34.4,1.0,1352948.0,26678.0,161288.0,2025.0,225149.0,instances/bms/300/aaa.txt,45400.0,300-03-ASP-acyclicity/bms3000/aaa.txt.lp.log.gz,1509.0,1.0,1,2,2.0,2.0,34.5,29.0,opt,527526.0,0.1,,34.4,8.0,NaN,105125.0,89700.0,0.0,0.0,45150.0,26676.0,275.0,26676.0,18724.0,1.0,0.0,3157.0
