Acyc-Edges,Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Acyc,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
756.0,1.0,5236.0,3470.0,2637.0,,,0.084,0.1,1.0,5179.0,3486.0,1108.0,2025.0,2129.0,instances/bms/100/bible.txt,4217.0,100-03-ASP-acyclicity/bms3000/bible.txt.lp.log.gz,262.0,1.0,1,64,64.0,16.0,0.1,0.0,opt,7721.0,0.0,,0.086,20.0,NaN,938.0,756.0,1.0,4.0,478.0,3470.0,63.0,3466.0,747.0,1.0,0.0,290.0
358.0,1.0,4172.0,0.0,1343.0,,,0.023,0.1,1.0,246.0,8.0,466.0,2025.0,1049.0,instances/bms/100/fields.c,3.0,100-03-ASP-acyclicity/bms3000/fields.c.lp.log.gz,253.0,1.0,1,92,92.0,8.0,0.1,0.0,opt,5416.0,0.0,,0.025,20.0,NaN,517.0,358.0,0.0,0.0,279.0,0.0,15.0,0.0,3.0,1.0,0.0,2.0
424.0,1.0,4676.0,13.0,2113.0,,,0.026,0.1,1.0,210.0,35.0,1415.0,2025.0,1265.0,instances/bms/100/grammar.lsp,23.0,100-03-ASP-acyclicity/bms3000/grammar.lsp.lp.log.gz,188.0,1.0,1,76,76.0,22.0,0.1,0.0,opt,6665.0,0.0,,0.028,20.0,NaN,892.0,424.0,0.0,1.0,312.0,13.0,0.0,12.0,10.0,1.0,0.0,16.0
288.0,,4120.0,142518687.0,1341.0,19,*,3585.69,3585.7,1.0,176657157.0,142518705.0,804.0,2025.0,1019.0,instances/bms/100/alphabet.txt,142524174.0,100-03-ASP-acyclicity/bms3000/alphabet.txt.lp.log.gz,,0.0,0,0,,19.0,3600.1,77683.0,unknown,5261.0,0.0,1.0,3600.005,21.0,NaN,488.0,288.0,613.0,4.0,244.0,142518687.0,0.0,142518683.0,5487.0,1.0,0.0,3123.0
336.0,1.0,4132.0,355.0,1313.0,,,0.025,0.1,1.0,798.0,363.0,477.0,2025.0,1015.0,instances/bms/100/paper4,564.0,100-03-ASP-acyclicity/bms3000/paper4.lp.log.gz,194.0,1.0,1,86,86.0,8.0,0.1,0.0,opt,5337.0,0.0,,0.026,20.0,NaN,500.0,336.0,3.0,3.0,268.0,355.0,26.0,352.0,209.0,1.0,0.0,74.0
4734.0,1.0,24217.0,227.0,23518.0,,,0.125,0.2,1.0,1650.0,243.0,22806.0,2025.0,12073.0,instances/bms/100/sum,1679.0,100-03-ASP-acyclicity/bms3000/sum.lp.log.gz,149.0,1.0,1,42,42.0,16.0,0.2,0.0,opt,47657.0,0.0,,0.128,20.0,NaN,13954.0,4734.0,1.0,4.0,2467.0,227.0,0.0,223.0,1452.0,1.0,0.0,48.0
296.0,1.0,4116.0,39.0,1477.0,,,0.025,0.1,1.0,206.0,59.0,866.0,2025.0,927.0,instances/bms/100/cp.html,49.0,100-03-ASP-acyclicity/bms3000/cp.html.lp.log.gz,172.0,1.0,1,76,76.0,20.0,0.1,0.0,opt,5481.0,0.0,,0.033,20.0,NaN,536.0,296.0,3.0,3.0,248.0,39.0,0.0,36.0,10.0,1.0,0.0,21.0
470.0,1.0,4461.0,3.0,1736.0,,,0.025,0.1,1.0,236.0,10.0,683.0,2025.0,1344.0,instances/bms/100/world192.txt,23.0,100-03-ASP-acyclicity/bms3000/world192.txt.lp.log.gz,243.0,1.0,1,84,84.0,7.0,0.1,0.0,opt,6095.0,0.0,,0.027,20.0,NaN,632.0,470.0,1.0,2.0,335.0,3.0,27.0,1.0,20.0,1.0,0.0,7.0
5188.0,1.0,25830.0,11755.0,25741.0,,,1.009,1.1,1.0,17300.0,11759.0,25556.0,2025.0,13269.0,instances/bms/100/fibonacci.16,30169.0,100-03-ASP-acyclicity/bms3000/fibonacci.16.lp.log.gz,7.0,1.0,1,4,4.0,4.0,1.1,1.0,opt,51471.0,0.0,,1.015,20.0,NaN,15264.0,5188.0,7.0,2.0,2694.0,11755.0,0.0,11753.0,18414.0,1.0,0.0,879.0
6150.0,1.0,30575.0,684298.0,30551.0,,,55.682,55.7,1.0,1298058.0,684312.0,30421.0,2025.0,15674.0,instances/bms/100/binary-de-brujin.11,3022183.0,100-03-ASP-acyclicity/bms3000/binary-de-brujin.11.lp.log.gz,62.0,1.0,1,14,14.0,14.0,56.0,617.0,opt,61026.0,0.1,,55.94,20.0,NaN,18150.0,6150.0,36.0,65.0,3175.0,684298.0,0.0,684233.0,2337885.0,1.0,0.0,6945.0
348.0,1.0,4165.0,114.0,1348.0,,,0.024,0.1,1.0,399.0,123.0,450.0,2025.0,1044.0,instances/bms/100/book1,185.0,100-03-ASP-acyclicity/bms3000/book1.lp.log.gz,240.0,1.0,1,87,87.0,9.0,0.1,0.0,opt,5398.0,0.0,,0.033,20.0,NaN,513.0,348.0,0.0,1.0,274.0,114.0,14.0,113.0,71.0,1.0,0.0,41.0
348.0,1.0,4189.0,7.0,1387.0,,,0.023,0.1,1.0,210.0,19.0,527.0,2025.0,1074.0,instances/bms/100/asyoulik.txt,13.0,100-03-ASP-acyclicity/bms3000/asyoulik.txt.lp.log.gz,213.0,1.0,1,84,84.0,12.0,0.1,0.0,opt,5443.0,0.0,,0.025,20.0,NaN,521.0,348.0,0.0,2.0,274.0,7.0,25.0,5.0,6.0,1.0,0.0,6.0
9900.0,1.0,43011.0,12570.0,44862.0,,,3.864,4.0,1.0,325769.0,12572.0,41470.0,2025.0,25049.0,instances/bms/100/pic,19716.0,100-03-ASP-acyclicity/bms3000/pic.lp.log.gz,150.0,1.0,1,2,2.0,2.0,4.0,37.0,opt,87750.0,0.1,,3.891,20.0,NaN,24961.0,9900.0,5.0,0.0,5050.0,12570.0,23.0,12570.0,7146.0,1.0,0.0,1804.0
458.0,1.0,4440.0,17063.0,1711.0,,,0.212,0.3,1.0,28598.0,17075.0,722.0,2025.0,1323.0,instances/bms/100/paper3,44960.0,100-03-ASP-acyclicity/bms3000/paper3.lp.log.gz,161.0,1.0,1,76,76.0,12.0,0.3,2.0,opt,6040.0,0.0,,0.214,20.0,NaN,623.0,458.0,1.0,0.0,329.0,17063.0,26.0,17063.0,27897.0,1.0,0.0,505.0
364.0,1.0,4373.0,7.0,1834.0,,,0.024,0.1,1.0,228.0,24.0,1090.0,2025.0,1114.0,instances/bms/100/news,13.0,100-03-ASP-acyclicity/bms3000/news.lp.log.gz,219.0,1.0,1,80,80.0,17.0,0.1,0.0,opt,6090.0,0.0,,0.026,20.0,NaN,681.0,364.0,1.0,4.0,282.0,7.0,0.0,3.0,6.0,1.0,0.0,12.0
2490.0,1.0,9625.0,2928.0,7771.0,,,0.107,0.2,1.0,7149.0,2961.0,3908.0,2025.0,6524.0,instances/bms/100/E.coli,13118.0,100-03-ASP-acyclicity/bms3000/E.coli.lp.log.gz,52.0,1.0,1,33,33.0,33.0,0.2,0.0,opt,17196.0,0.0,,0.109,20.0,NaN,2690.0,2490.0,15.0,9.0,1345.0,2928.0,100.0,2919.0,10190.0,1.0,0.0,344.0
9900.0,1.0,43011.0,12570.0,44862.0,,,3.806,3.9,1.0,325769.0,12572.0,41470.0,2025.0,25049.0,instances/bms/100/ptt5,19716.0,100-03-ASP-acyclicity/bms3000/ptt5.lp.log.gz,150.0,1.0,1,2,2.0,2.0,3.9,37.0,opt,87750.0,0.0,,3.824,20.0,NaN,24961.0,9900.0,5.0,0.0,5050.0,12570.0,23.0,12570.0,7146.0,1.0,0.0,1804.0
416.0,1.0,4344.0,12339.0,1592.0,,,0.145,0.2,1.0,20625.0,12352.0,639.0,2025.0,1227.0,instances/bms/100/paper1,31263.0,100-03-ASP-acyclicity/bms3000/paper1.lp.log.gz,167.0,1.0,1,79,79.0,13.0,0.2,3.0,opt,5816.0,0.0,,0.147,20.0,NaN,584.0,416.0,0.0,0.0,308.0,12339.0,24.0,12339.0,18924.0,1.0,0.0,370.0
9900.0,1.0,43011.0,12570.0,44862.0,,,3.885,3.9,1.0,325769.0,12572.0,41470.0,2025.0,25049.0,instances/bms/100/aaa.txt,19716.0,100-03-ASP-acyclicity/bms3000/aaa.txt.lp.log.gz,150.0,1.0,1,2,2.0,2.0,4.0,37.0,opt,87750.0,0.0,,3.901,20.0,NaN,24961.0,9900.0,5.0,0.0,5050.0,12570.0,23.0,12570.0,7146.0,1.0,0.0,1804.0
