Answer,Atoms,Backjumps,Bodies,Bounds LB,Bounds UB,CPU Time,CPU time,Calls,Choices,Conflicts,Constraints,Date,Equivalences,Instance,Lemmas,Log,Model-Level,Models,Obj updates,Obj val,Optimization,Problems,Real time,Restarts,Result,Rules,Sys time,TIME LIMIT,Time,Uptime,Used memory,Variables,c   Binary,c   Bounded,c   Choice,c   Conflict,c   Count,c   Executed,c   Loop,c   Minimize,c   Other,c   Ternary
1.0,6080.0,2866.0,12381.0,,,0.231,0.3,1.0,4670.0,2882.0,35123.0,2025.0,2156.0,instances/bms/100/bible.txt,3196.0,100-01-ASP-closure/bms3000/bible.txt.lp.log.gz,206.0,1.0,1,64,64.0,16.0,0.3,0.0,opt,17925.0,0.0,,0.243,20.0,NaN,9536.0,5.0,3.0,478.0,2866.0,63.0,2863.0,330.0,1.0,0.0,51.0
1.0,4956.0,1.0,5605.0,,,0.036,0.1,1.0,312.0,9.0,14250.0,2025.0,1148.0,instances/bms/100/fields.c,91.0,100-01-ASP-closure/bms3000/fields.c.lp.log.gz,294.0,1.0,1,92,92.0,8.0,0.1,0.0,opt,10276.0,0.0,,0.038,20.0,NaN,4198.0,0.0,0.0,279.0,1.0,0.0,1.0,90.0,1.0,0.0,1.0
1.0,5190.0,10.0,6141.0,,,0.038,0.1,1.0,301.0,32.0,14634.0,2025.0,1337.0,instances/bms/100/grammar.lsp,96.0,100-01-ASP-closure/bms3000/grammar.lsp.lp.log.gz,194.0,1.0,1,76,76.0,22.0,0.1,0.0,opt,10979.0,0.0,,0.04,20.0,NaN,4252.0,0.0,1.0,312.0,10.0,0.0,9.0,86.0,1.0,0.0,4.0
,4508.0,80148351.0,2613.0,20,*,3582.658,3582.7,1.0,96850845.0,80148371.0,4020.0,2025.0,1019.0,instances/bms/100/alphabet.txt,80149309.0,100-01-ASP-closure/bms3000/alphabet.txt.lp.log.gz,,0.0,0,0,,20.0,3600.1,42707.0,unknown,6777.0,0.0,1.0,3600.005,22.0,NaN,1328.0,88.0,7.0,244.0,80148351.0,0.0,80148344.0,958.0,1.0,0.0,879.0
1.0,4822.0,185.0,4135.0,,,0.035,0.1,1.0,399.0,193.0,8851.0,2025.0,1087.0,instances/bms/100/paper4,234.0,100-01-ASP-closure/bms3000/paper4.lp.log.gz,173.0,1.0,1,86,86.0,8.0,0.1,0.0,opt,8691.0,0.0,,0.037,20.0,NaN,2786.0,0.0,6.0,268.0,185.0,0.0,179.0,49.0,1.0,0.0,7.0
1.0,19997.0,38636.0,340772.0,,,74.102,74.2,1.0,188460.0,38652.0,1281033.0,2025.0,12091.0,instances/bms/100/sum,80268.0,100-01-ASP-closure/bms3000/sum.lp.log.gz,130.0,1.0,1,42,42.0,16.0,74.6,68.0,opt,358251.0,0.1,,74.485,21.0,NaN,324099.0,100.0,160.0,2467.0,38636.0,69.0,38476.0,41632.0,1.0,0.0,239.0
1.0,4496.0,24.0,3313.0,,,0.028,0.1,1.0,178.0,44.0,6153.0,2025.0,999.0,instances/bms/100/cp.html,82.0,100-01-ASP-closure/bms3000/cp.html.lp.log.gz,163.0,1.0,1,76,76.0,20.0,0.1,0.0,opt,7533.0,0.0,,0.03,20.0,NaN,1896.0,0.0,5.0,248.0,24.0,0.0,19.0,58.0,1.0,0.0,10.0
1.0,5550.0,69.0,7716.0,,,0.047,0.1,1.0,440.0,76.0,20232.0,2025.0,1416.0,instances/bms/100/world192.txt,178.0,100-01-ASP-closure/bms3000/world192.txt.lp.log.gz,233.0,1.0,1,84,84.0,7.0,0.1,0.0,opt,12940.0,0.0,,0.049,20.0,NaN,5875.0,0.0,1.0,335.0,69.0,0.0,68.0,109.0,1.0,0.0,5.0
1.0,21242.0,5112.0,306371.0,,,21.628,21.7,1.0,7859.0,5116.0,1136222.0,2025.0,13269.0,instances/bms/100/fibonacci.16,60886.0,100-01-ASP-closure/bms3000/fibonacci.16.lp.log.gz,10.0,1.0,1,4,4.0,4.0,21.9,1.0,opt,324819.0,0.1,,21.731,21.0,NaN,288112.0,1.0,2.0,2694.0,5112.0,100.0,5110.0,55774.0,1.0,0.0,61.0
1.0,25025.0,242927.0,453076.0,,,941.006,0.0,1.0,498259.0,242941.0,1706675.0,2025.0,15674.0,instances/bms/100/binary-de-brujin.11,450230.0,100-01-ASP-closure/bms3000/binary-de-brujin.11.lp.log.gz,86.0,1.0,1,14,14.0,14.0,947.9,143.0,opt,474826.0,0.0,,947.735,21.0,NaN,431450.0,123.0,146.0,3175.0,242927.0,100.0,242781.0,207303.0,1.0,0.0,972.0
